case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tape player,848,0.17943768203258514,cassette player,482,0.1406867802143097,CD player,485,0.0775427296757698,cassette,481,0.05257391929626465,radio,754,0.02955285832285881
1,CD player,485,0.21809709072113037,tape player,848,0.10307110100984573,cassette player,482,0.09658820927143097,radio,754,0.03708302602171898,cassette,481,0.026280943304300308
2,tape player,848,0.30008664727211,cassette player,482,0.11954303085803986,CD player,485,0.04727686941623688,cassette,481,0.039008624851703644,radio,754,0.02355986274778843
3,tape player,848,0.3315376043319702,cassette player,482,0.16029015183448792,CD player,485,0.09207475930452347,radio,754,0.024729067459702492,cassette,481,0.016052404418587685
4,tape player,848,0.3300616145133972,cassette player,482,0.22687257826328278,CD player,485,0.07997404038906097,cassette,481,0.032398659735918045,radio,754,0.018258674070239067
5,CD player,485,0.18351265788078308,tape player,848,0.17019879817962646,cassette player,482,0.05887210741639137,radio,754,0.03748955950140953,hard disc,592,0.01187632791697979
6,tape player,848,0.2585696876049042,cassette player,482,0.15877394378185272,CD player,485,0.08094270527362823,radio,754,0.023539282381534576,cassette,481,0.010912815108895302
7,cassette,481,0.16199751198291779,cassette player,482,0.1313319057226181,tape player,848,0.12703850865364075,CD player,485,0.03248609974980354,radio,754,0.022499529644846916
8,tape player,848,0.1966213583946228,radio,754,0.109268419444561,cassette player,482,0.09322641789913177,CD player,485,0.07612485438585281,cassette,481,0.02237454243004322
9,tape player,848,0.19721554219722748,cassette player,482,0.1632619947195053,CD player,485,0.07941705733537674,radio,754,0.03608449921011925,cassette,481,0.028816066682338715
10,tape player,848,0.13276661932468414,cassette player,482,0.07354914397001266,radio,754,0.06185711547732353,CD player,485,0.05886220932006836,cassette,481,0.03816632926464081
11,tape player,848,0.08600180596113205,cassette player,482,0.08035017549991608,CD player,485,0.07886669039726257,radio,754,0.07864736765623093,cassette,481,0.04790166765451431
12,tape player,848,0.19824180006980896,cassette player,482,0.16237054765224457,radio,754,0.044644854962825775,CD player,485,0.03929800167679787,cassette,481,0.03303571417927742
13,tape player,848,0.20217826962471008,CD player,485,0.1743619740009308,cassette player,482,0.1219126507639885,radio,754,0.07786327600479126,cassette,481,0.011523188091814518
14,tape player,848,0.2340715080499649,cassette player,482,0.10181566327810287,CD player,485,0.047601811587810516,cassette,481,0.038116585463285446,radio,754,0.02597837895154953
15,cassette player,482,0.18291586637496948,tape player,848,0.18069693446159363,cassette,481,0.0971127301454544,CD player,485,0.06142907217144966,radio,754,0.033445198088884354
16,tape player,848,0.18665941059589386,cassette player,482,0.14956168830394745,CD player,485,0.12232232838869095,radio,754,0.03784434124827385,cassette,481,0.017468472942709923
17,tape player,848,0.1778562366962433,CD player,485,0.17310352623462677,radio,754,0.124691903591156,cassette player,482,0.0870945155620575,cassette,481,0.02643478475511074
18,tape player,848,0.28871333599090576,cassette player,482,0.15471163392066956,radio,754,0.04522815719246864,CD player,485,0.033729437738657,cassette,481,0.031417082995176315
19,tape player,848,0.1918293982744217,cassette player,482,0.16683092713356018,cassette,481,0.0762503370642662,CD player,485,0.04993968829512596,radio,754,0.025441661477088928
20,tape player,848,0.3437785506248474,cassette player,482,0.1605054885149002,cassette,481,0.05528360605239868,CD player,485,0.04552419111132622,radio,754,0.011308691464364529
21,tape player,848,0.2828384339809418,cassette player,482,0.2224157601594925,radio,754,0.07154446840286255,cassette,481,0.033420830965042114,CD player,485,0.022198928520083427
22,tape player,848,0.20294201374053955,cassette player,482,0.11106472462415695,CD player,485,0.0712873637676239,radio,754,0.06087028980255127,cassette,481,0.028164509683847427
23,CD player,485,0.1614311933517456,tape player,848,0.13801944255828857,radio,754,0.10731163620948792,cassette player,482,0.08522197604179382,cassette,481,0.015447450801730156
24,tape player,848,0.2560189664363861,cassette player,482,0.17379237711429596,CD player,485,0.0464700348675251,radio,754,0.043068721890449524,cassette,481,0.036620911210775375
