case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,knee pad,615,0.20402927696704865,chain saw,491,0.0969197154045105,crash helmet,518,0.04640853404998779,stretcher,830,0.041084013879299164,gasmask,570,0.03310802951455116
1,chain saw,491,0.5503973960876465,lawn mower,621,0.02045128494501114,harvester,595,0.004369054920971394,gasmask,570,0.0032413636799901724,crash helmet,518,0.00317746982909739
2,chain saw,491,0.39994484186172485,sturgeon,394,0.0027032680809497833,ski mask,796,0.0026198048144578934,mountain bike,671,0.0025812084786593914,unicycle,880,0.0023910384625196457
3,chain saw,491,0.2832688093185425,moped,665,0.006868429947644472,stretcher,830,0.006001791916787624,power drill,740,0.004875250160694122,lawn mower,621,0.004294049460440874
4,chain saw,491,0.1226096823811531,stretcher,830,0.07264133542776108,plow,730,0.014580327086150646,hook,600,0.011194695718586445,harvester,595,0.008557645604014397
5,chain saw,491,0.18800725042819977,ski mask,796,0.004883966874331236,power drill,740,0.004273849539458752,apiary,410,0.003603528719395399,football helmet,560,0.0030395295470952988
6,chain saw,491,0.4729943573474884,power drill,740,0.003941882401704788,lumbermill,634,0.002912574913352728,mountain bike,671,0.002709430642426014,stretcher,830,0.0017883769469335675
7,chain saw,491,0.2515825033187866,mountain bike,671,0.03204924985766411,assault rifle,413,0.006181926932185888,gasmask,570,0.005757515784353018,worm fence,912,0.004867089446634054
8,chain saw,491,0.3340419828891754,stretcher,830,0.006349612958729267,mountain bike,671,0.003707046154886484,lumbermill,634,0.003206961788237095,harvester,595,0.0030449170153588057
9,chain saw,491,0.23724544048309326,ski mask,796,0.004908798262476921,mountain bike,671,0.004291885532438755,moped,665,0.004143564961850643,football helmet,560,0.003526989370584488
10,chain saw,491,0.619056224822998,lumbermill,634,0.003497862722724676,stretcher,830,0.003434621961787343,lifeboat,625,0.0017145079327747226,power drill,740,0.0015835403464734554
