case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,church,497,0.4756075441837311,monastery,663,0.05407817289233208,bell cote,442,0.013827224262058735,castle,483,0.00616684602573514,dome,538,0.004682975355535746
1,altar,406,0.23738272488117218,church,497,0.23618048429489136,vault,884,0.05256795883178711,organ,687,0.025244472548365593,monastery,663,0.004847405012696981
2,church,497,0.5593262910842896,bell cote,442,0.06298019737005234,monastery,663,0.036198586225509644,vault,884,0.01000304240733385,castle,483,0.0033606640063226223
3,altar,406,0.17067036032676697,vault,884,0.16550247371196747,church,497,0.14549759030342102,organ,687,0.019276276230812073,monastery,663,0.009913546033203602
4,church,497,0.27539628744125366,vault,884,0.19240422546863556,altar,406,0.16473129391670227,organ,687,0.009817580692470074,monastery,663,0.008759260177612305
5,vault,884,0.27414387464523315,church,497,0.1380363255739212,altar,406,0.0893394723534584,organ,687,0.034756969660520554,monastery,663,0.027883464470505714
6,church,497,0.36157211661338806,bell cote,442,0.03260061517357826,monastery,663,0.01563328318297863,vault,884,0.012805693782866001,altar,406,0.0046183583326637745
7,church,497,0.34190633893013,bell cote,442,0.0421893484890461,monastery,663,0.027678867802023888,vault,884,0.0063318549655377865,altar,406,0.002295310376212001
8,church,497,0.21446213126182556,bell cote,442,0.08621826767921448,monastery,663,0.012957554310560226,vault,884,0.0028333361260592937,dome,538,0.0021109329536557198
9,altar,406,0.2144041359424591,church,497,0.16796346008777618,vault,884,0.041834935545921326,monastery,663,0.01025398075580597,organ,687,0.006758519448339939
10,church,497,0.5971180200576782,bell cote,442,0.014325547032058239,monastery,663,0.007318819873034954,vault,884,0.0021782829426229,dome,538,0.0018949252553284168
11,church,497,0.4094896614551544,monastery,663,0.14486093819141388,bell cote,442,0.042965538799762726,dome,538,0.009356115944683552,vault,884,0.004953513853251934
12,church,497,0.4224831461906433,bell cote,442,0.030447589233517647,monastery,663,0.02152608335018158,vault,884,0.004581189248710871,dome,538,0.002481211442500353
13,church,497,0.2751990258693695,bell cote,442,0.07652392983436584,monastery,663,0.009712865576148033,dome,538,0.0031191317830234766,vault,884,0.0025078170001506805
14,vault,884,0.2514581084251404,altar,406,0.1122184544801712,church,497,0.098433718085289,organ,687,0.018052535131573677,monastery,663,0.016857832670211792
15,vault,884,0.2121492475271225,altar,406,0.15213455259799957,church,497,0.10820039361715317,organ,687,0.025062397122383118,monastery,663,0.01095010619610548
16,church,497,0.3312462568283081,bell cote,442,0.0683240070939064,monastery,663,0.022897131741046906,vault,884,0.0066360109485685825,tile roof,858,0.0025548862759023905
17,church,497,0.3042384684085846,bell cote,442,0.08821845799684525,monastery,663,0.030694294720888138,vault,884,0.004947304725646973,dome,538,0.00462431600317359
18,church,497,0.4042544960975647,monastery,663,0.03047177381813526,bell cote,442,0.02948751114308834,dome,538,0.008675476536154747,vault,884,0.0050211637280881405
19,church,497,0.39579451084136963,bell cote,442,0.06198830157518387,vault,884,0.013415515422821045,monastery,663,0.009418013505637646,carton,478,0.003215936478227377
20,church,497,0.49424436688423157,bell cote,442,0.032149456441402435,monastery,663,0.006452644243836403,tile roof,858,0.0031758362893015146,vault,884,0.0029560041148215532
21,church,497,0.34154587984085083,bell cote,442,0.0603204146027565,monastery,663,0.0388510636985302,vault,884,0.008635223843157291,altar,406,0.004801709204912186
22,church,497,0.5049283504486084,bell cote,442,0.032758742570877075,monastery,663,0.01953044719994068,vault,884,0.006434506271034479,dome,538,0.0019998718053102493
23,church,497,0.1660420447587967,monastery,663,0.15501222014427185,vault,884,0.10645120590925217,bell cote,442,0.03023022599518299,altar,406,0.011689956299960613
24,church,497,0.5350714921951294,bell cote,442,0.0943145900964737,monastery,663,0.0062225135043263435,vault,884,0.0042671458795666695,tile roof,858,0.0020929204765707254
25,church,497,0.25931987166404724,altar,406,0.14860694110393524,vault,884,0.1446027308702469,monastery,663,0.012248226441442966,organ,687,0.006988723762333393
26,church,497,0.33233344554901123,monastery,663,0.06079166382551193,bell cote,442,0.047662850469350815,vault,884,0.007003944367170334,tile roof,858,0.0031448255758732557
27,altar,406,0.1910499930381775,church,497,0.18121841549873352,vault,884,0.09248323738574982,organ,687,0.014219693839550018,monastery,663,0.00993075966835022
28,church,497,0.524408757686615,bell cote,442,0.05439504235982895,monastery,663,0.0074145919643342495,tile roof,858,0.0022173321340233088,vault,884,0.0015453534433618188
29,church,497,0.49430057406425476,bell cote,442,0.022844916209578514,monastery,663,0.015643665567040443,castle,483,0.0023625888861715794,tile roof,858,0.0022422943729907274
30,vault,884,0.40470075607299805,altar,406,0.10350922495126724,church,497,0.09532084316015244,monastery,663,0.021865390241146088,organ,687,0.02184179611504078
31,church,497,0.5720857977867126,bell cote,442,0.024078592658042908,monastery,663,0.013925961218774319,vault,884,0.0013787002535536885,tile roof,858,0.0012372811324894428
32,church,497,0.41450434923171997,bell cote,442,0.08267064392566681,monastery,663,0.014835331588983536,vault,884,0.011816629208624363,tile roof,858,0.003049044171348214
33,vault,884,0.3791566789150238,church,497,0.09663885086774826,altar,406,0.0869736447930336,monastery,663,0.018873007968068123,organ,687,0.015059486031532288
34,church,497,0.36569780111312866,bell cote,442,0.10585293918848038,monastery,663,0.01937990076839924,vault,884,0.004284201189875603,dome,538,0.0027235376182943583
35,church,497,0.42908787727355957,monastery,663,0.027589445933699608,bell cote,442,0.015069006942212582,vault,884,0.012164073996245861,altar,406,0.006182006560266018
