case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.5806622505187988,coil,506,0.0012741487007588148,vine snake,59,0.0012641584035009146,nematode,111,0.0011714427964761853,bassoon,432,0.0010860511101782322
1,French horn,566,0.5796847939491272,trombone,875,0.0033123157918453217,bassoon,432,0.002488845493644476,coil,506,0.0015774596249684691,cornet,513,0.0014402464730665088
2,French horn,566,0.538921594619751,cornet,513,0.0027223038487136364,bassoon,432,0.0025105983950197697,jersey,610,0.0017318758182227612,trombone,875,0.0017308034002780914
3,French horn,566,0.47842127084732056,coil,506,0.0127013074234128,nematode,111,0.007868628948926926,cornet,513,0.005853597540408373,turnstile,877,0.004920236300677061
4,French horn,566,0.5178917050361633,coil,506,0.003133062506094575,turnstile,877,0.0024833790957927704,nematode,111,0.0015629149274900556,electric guitar,546,0.0014124992303550243
5,French horn,566,0.5160860419273376,bassoon,432,0.0015500988811254501,pick,714,0.0012153788702562451,oboe,683,0.0011194092221558094,nematode,111,0.001110972836613655
6,French horn,566,0.44171181321144104,cornet,513,0.007148183416575193,coil,506,0.003969231154769659,nematode,111,0.0037197028286755085,vine snake,59,0.0026646326296031475
7,French horn,566,0.44665858149528503,coil,506,0.014277856796979904,nematode,111,0.006740446202456951,vine snake,59,0.0033578474540263414,turnstile,877,0.00204427819699049
8,French horn,566,0.5269495844841003,mixing bowl,659,0.001993262441828847,bassoon,432,0.0016198628582060337,coil,506,0.0015828051837161183,electric guitar,546,0.0013273567892611027
9,French horn,566,0.5504154562950134,cornet,513,0.001452922122552991,electric guitar,546,0.0013522416120395064,bassoon,432,0.0012253320310264826,oboe,683,0.0011406020494177938
10,French horn,566,0.5513044595718384,bassoon,432,0.001891333726234734,nematode,111,0.0014553144574165344,coil,506,0.0014513672795146704,electric guitar,546,0.0010626781731843948
