case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,golf ball,574,0.5173776149749756,African grey,87,0.0009753464837558568,thimble,855,0.0009644951205700636,remote control,761,0.0008797436021268368,tennis ball,852,0.0008688344387337565
1,golf ball,574,0.5200324654579163,ping-pong ball,722,0.001266634906642139,tennis ball,852,0.001109306700527668,thimble,855,0.001069571590051055,remote control,761,0.000873913464602083
2,golf ball,574,0.557783305644989,bib,443,0.00198867148719728,mouse,673,0.001977158011868596,ping-pong ball,722,0.001224856823682785,piggy bank,719,0.00121136789675802
3,golf ball,574,0.4358219802379608,wombat,106,0.0021318963263183832,thimble,855,0.00177405693102628,tennis ball,852,0.0014055704232305288,wild boar,342,0.0012685252586379647
4,golf ball,574,0.516433596611023,African grey,87,0.0013947384431958199,Siamese cat,284,0.0013010004768148065,pug,254,0.0011957217939198017,thimble,855,0.0011893053306266665
5,golf ball,574,0.46776658296585083,thimble,855,0.0012303913244977593,piggy bank,719,0.0010266514727845788,goblet,572,0.0009624697268009186,saltshaker,773,0.0009447152260690928
6,golf ball,574,0.6544960141181946,ballpoint,418,0.0007271345239132643,tennis ball,852,0.0006792910280637443,ping-pong ball,722,0.0006670490256510675,binder,446,0.0006632086005993187
7,golf ball,574,0.42712080478668213,thimble,855,0.0018736361525952816,ping-pong ball,722,0.0016449871473014355,jean,608,0.00156990101095289,thunder snake,52,0.0014551329659298062
8,golf ball,574,0.5046272277832031,ping-pong ball,722,0.006495603360235691,pill bottle,720,0.0016620014794170856,baseball,429,0.0016372577520087361,thimble,855,0.001570696011185646
9,golf ball,574,0.4225998520851135,Siberian husky,250,0.001399957574903965,Pekinese,154,0.0013892173301428556,Eskimo dog,248,0.0013207264710217714,Siamese cat,284,0.0012206175597384572
10,golf ball,574,0.4946746230125427,gibbon,368,0.001681074034422636,thimble,855,0.0014081938425078988,binder,446,0.001292783534154296,goblet,572,0.0010800801683217287
11,golf ball,574,0.3751774728298187,ping-pong ball,722,0.004424924496561289,thimble,855,0.0017508761957287788,ptarmigan,81,0.0015773921040818095,screw,783,0.0014315025182440877
12,golf ball,574,0.3605467677116394,thimble,855,0.0034873944241553545,spotlight,818,0.0025832587853074074,microphone,650,0.0021456812974065542,matchstick,644,0.0018774912459775805
13,golf ball,574,0.5211750864982605,ping-pong ball,722,0.001692002872005105,thimble,855,0.0015858042752370238,saltshaker,773,0.0011979356640949845,ladle,618,0.00103088584728539
14,golf ball,574,0.48166823387145996,thimble,855,0.0019895967561751604,ping-pong ball,722,0.0011389278806746006,African grey,87,0.00095281534595415,Egyptian cat,285,0.0009418961126357317
15,golf ball,574,0.5335087180137634,wombat,106,0.001108868746086955,bison,347,0.001059667207300663,thimble,855,0.0010496507165953517,Bedlington terrier,181,0.0010462705977261066
16,golf ball,574,0.4774004817008972,thimble,855,0.0014206033665686846,tennis ball,852,0.001262960024178028,hermit crab,125,0.0010615355568006635,lens cap,622,0.0009916062699630857
17,golf ball,574,0.4706591069698334,thimble,855,0.0016084624221548438,tennis ball,852,0.001542281941510737,soccer ball,805,0.001200367696583271,rugby ball,768,0.0010023403447121382
18,golf ball,574,0.4210800230503082,tennis ball,852,0.0013869107933714986,thimble,855,0.001378029934130609,ping-pong ball,722,0.0012142256600782275,lycaenid,326,0.0011902222177013755
19,golf ball,574,0.4868972599506378,wombat,106,0.002639943500980735,Irish wolfhound,170,0.001443082233890891,wild boar,342,0.0013872176641598344,Border terrier,182,0.0013478234177455306
20,golf ball,574,0.5212885141372681,football helmet,560,0.001434680656529963,soccer ball,805,0.00138927495572716,tennis ball,852,0.0012619182234629989,ballplayer,981,0.0012034339597448707
21,golf ball,574,0.48849761486053467,thimble,855,0.0014899122761562467,candle,470,0.0011693764245137572,remote control,761,0.000902153376955539,tennis ball,852,0.0008497174130752683
22,golf ball,574,0.4647294282913208,thimble,855,0.0034395456314086914,tennis ball,852,0.002267570700496435,ping-pong ball,722,0.0016023319913074374,lens cap,622,0.0013664518482983112
23,golf ball,574,0.38535329699516296,dung beetle,305,0.002179184230044484,thimble,855,0.0017062196275219321,tennis ball,852,0.0016486054519191384,leatherback turtle,34,0.0015649896813556552
24,golf ball,574,0.5178139209747314,Pekinese,154,0.0013199304230511189,Siamese cat,284,0.0012688589049503207,Saint Bernard,247,0.0011159810237586498,Siberian husky,250,0.0010249307379126549
25,golf ball,574,0.35370057821273804,drumstick,542,0.006894398480653763,mortar,666,0.005612451583147049,matchstick,644,0.0034778169356286526,thimble,855,0.002123842481523752
26,golf ball,574,0.5080254673957825,thimble,855,0.0012774748029187322,tennis ball,852,0.000912907300516963,Sussex spaniel,220,0.0008719367906451225,matchstick,644,0.0008580989670008421
27,golf ball,574,0.6197290420532227,velvet,885,0.0034294312354177237,doormat,539,0.0022128995042294264,binder,446,0.0021788335870951414,ballplayer,981,0.0016677085077390075
28,golf ball,574,0.4283691942691803,thimble,855,0.0027266191318631172,ping-pong ball,722,0.001466069952584803,Shih-Tzu,155,0.0013455639127641916,Pekinese,154,0.0012382689164951444
29,golf ball,574,0.7382005453109741,baseball,429,0.0015035317046567798,thimble,855,0.001098510343581438,ballplayer,981,0.0008186886552721262,ping-pong ball,722,0.0007208483875729144
30,golf ball,574,0.5849727988243103,pill bottle,720,0.022203676402568817,ping-pong ball,722,0.019677137956023216,remote control,761,0.010051364079117775,microphone,650,0.006137233693152666
31,golf ball,574,0.3896566927433014,ping-pong ball,722,0.0021837735548615456,microphone,650,0.0021583205088973045,thimble,855,0.0017954272916540504,tennis ball,852,0.0015008539194241166
32,golf ball,574,0.4024403989315033,soccer ball,805,0.0019838442094624043,coil,506,0.0014391506556421518,football helmet,560,0.0013488822150975466,thimble,855,0.001186544424854219
33,golf ball,574,0.42138317227363586,thimble,855,0.0031311549246311188,gibbon,368,0.0019818441942334175,binder,446,0.0012664191890507936,ping-pong ball,722,0.0011441393289715052
34,golf ball,574,0.5714530944824219,thimble,855,0.0012091080425307155,tennis ball,852,0.0010632624616846442,zucchini,939,0.000831730489153415,ballpoint,418,0.0008308972464874387
35,golf ball,574,0.6272746324539185,gibbon,368,0.0011536910897120833,baboon,372,0.0009090250823646784,koala,105,0.0008213469991460443,wombat,106,0.0007527708075940609
36,golf ball,574,0.623635470867157,thimble,855,0.0009457761771045625,goose,99,0.000896826502867043,matchstick,644,0.0008626884664408863,tick,78,0.0007545827538706362
37,golf ball,574,0.50839763879776,thimble,855,0.002637719502672553,cup,968,0.001079962239600718,tennis ball,852,0.001033928943797946,ping-pong ball,722,0.0009751669131219387
38,golf ball,574,0.4372313916683197,thimble,855,0.001903874333947897,croquet ball,522,0.0018807579763233662,strawberry,949,0.0015700996154919267,koala,105,0.0014872155152261257
39,golf ball,574,0.414204865694046,wombat,106,0.002200223971158266,thimble,855,0.0019932512659579515,ping-pong ball,722,0.001349370228126645,Shih-Tzu,155,0.0012805399019271135
40,golf ball,574,0.4424333870410919,ping-pong ball,722,0.0023930964525789022,thimble,855,0.002091890200972557,Shih-Tzu,155,0.0013033475261181593,gibbon,368,0.0012531535467132926
