case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tench,0,0.5313825011253357,barracouta,389,0.013349301181733608,gar,395,0.0023593618534505367,sturgeon,394,0.00198251660913229,coho,391,0.0019051771378144622
1,tench,0,0.37437719106674194,barracouta,389,0.0035647766198962927,cloak,501,0.0030912773218005896,sweatshirt,841,0.0024742246605455875,abaya,399,0.0023667062632739544
2,tench,0,0.3681308329105377,reel,758,0.004121348261833191,barracouta,389,0.002543297130614519,croquet ball,522,0.0014828619314357638,eel,390,0.0014399307547137141
3,tench,0,0.49484381079673767,barracouta,389,0.01743929088115692,hay,958,0.015240814536809921,reel,758,0.0073375520296394825,gar,395,0.005176685284823179
4,tench,0,0.44216349720954895,barracouta,389,0.00809344183653593,gar,395,0.0013488130643963814,coho,391,0.0011730334954336286,sturgeon,394,0.001166147063486278
5,tench,0,0.5155754089355469,barracouta,389,0.0046586706303060055,reel,758,0.0026210795622318983,rock beauty,392,0.0011841452214866877,coho,391,0.0009344036225229502
6,tench,0,0.4529217779636383,barracouta,389,0.0043750936165452,reel,758,0.0014942226698622108,gar,395,0.0012399787083268166,bulletproof vest,465,0.0011453720508143306
7,tench,0,0.4616211950778961,barracouta,389,0.008288769982755184,coho,391,0.002009039279073477,reel,758,0.0014533272478729486,sturgeon,394,0.0013595512136816978
8,tench,0,0.2640320956707001,barracouta,389,0.06993315368890762,rock beauty,392,0.04204122722148895,coho,391,0.0322449766099453,reel,758,0.01848362572491169
9,tench,0,0.5254561305046082,barracouta,389,0.01812351681292057,coho,391,0.006097490433603525,gar,395,0.0047854091972112656,sturgeon,394,0.00414119940251112
10,tench,0,0.3144772946834564,barracouta,389,0.004622179549187422,reel,758,0.0025739099364727736,spaghetti squash,940,0.0016905986703932285,ringlet,322,0.0016125991242006421
11,tench,0,0.4667973518371582,barracouta,389,0.008749577216804028,reel,758,0.0012231500586494803,coho,391,0.0012121312320232391,cloak,501,0.0010429646354168653
12,tench,0,0.3332012891769409,eel,390,0.0017067460576072335,Chesapeake Bay retriever,209,0.0016833908157423139,barracouta,389,0.0016630877507850528,malinois,225,0.0015592139679938555
13,tench,0,0.35830169916152954,barracouta,389,0.004769937135279179,golf ball,574,0.0014475011266767979,reel,758,0.0013878369936719537,Greater Swiss Mountain dog,238,0.0013833363773301244
14,tench,0,0.4217594861984253,barracouta,389,0.006391577888280153,spaghetti squash,940,0.0021409839391708374,jackfruit,955,0.0018285632831975818,reel,758,0.0018033233936876059
15,tench,0,0.3595820367336273,barracouta,389,0.0016961568035185337,spaghetti squash,940,0.0016105722170323133,platypus,103,0.0015909008216112852,rock beauty,392,0.0013491535792127252
16,tench,0,0.5802382826805115,barracouta,389,0.0056853266432881355,gar,395,0.0022315713576972485,coho,391,0.0016692407662048936,sturgeon,394,0.0012641741195693612
17,tench,0,0.4621107578277588,barracouta,389,0.0018932829843834043,spaghetti squash,940,0.0010620360262691975,platypus,103,0.0010335189290344715,goldfish,1,0.0010270263301208615
18,tench,0,0.6103450655937195,barracouta,389,0.006454211659729481,coho,391,0.001317138085141778,jackfruit,955,0.0012206772807985544,gar,395,0.0011481809196993709
19,tench,0,0.46516525745391846,barracouta,389,0.003607332706451416,spaghetti squash,940,0.0013452436542138457,lemon,951,0.00121399131603539,coho,391,0.0011206965427845716
20,tench,0,0.38006412982940674,barracouta,389,0.0020749657414853573,spaghetti squash,940,0.0017874166369438171,croquet ball,522,0.001470556017011404,soccer ball,805,0.0014391239965334535
21,tench,0,0.5542634725570679,barracouta,389,0.008312801830470562,sleeping bag,797,0.0034782257862389088,rock beauty,392,0.003433405887335539,reel,758,0.002217300934717059
22,tench,0,0.5904901623725891,barracouta,389,0.005335585679858923,reel,758,0.00475658755749464,rock beauty,392,0.004742835182696581,puffer,397,0.003079594811424613
23,tench,0,0.5762831568717957,rock beauty,392,0.003983916714787483,reel,758,0.0027638664469122887,barracouta,389,0.0024740686640143394,anemone fish,393,0.0024426605086773634
24,tench,0,0.6073618531227112,rock beauty,392,0.011626789346337318,anemone fish,393,0.007581264711916447,goldfish,1,0.006213500630110502,coral reef,973,0.0049086217768490314
25,tench,0,0.49469834566116333,barracouta,389,0.002394752111285925,reel,758,0.0017967383610084653,slug,114,0.0013681944692507386,eel,390,0.001076072920113802
26,tench,0,0.47378697991371155,barracouta,389,0.031032100319862366,coho,391,0.015737101435661316,gar,395,0.005051734857261181,sturgeon,394,0.004947717301547527
27,tench,0,0.3812428414821625,barracouta,389,0.04642076790332794,rock beauty,392,0.027194302529096603,puffer,397,0.02082156017422676,gar,395,0.019652163609862328
28,tench,0,0.409507155418396,reel,758,0.004773949738591909,barracouta,389,0.004432673566043377,eel,390,0.0025412901304662228,goldfish,1,0.001696981955319643
29,tench,0,0.25047627091407776,barracouta,389,0.0031061526387929916,goldfish,1,0.0013377211289480329,oboe,683,0.0012366784503683448,soccer ball,805,0.0012279412476345897
30,tench,0,0.44004085659980774,barracouta,389,0.0030061628203839064,eel,390,0.001543849823065102,soccer ball,805,0.0014880490489304066,reel,758,0.0012906233314424753
