case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,parachute,701,0.5659259557723999,balloon,417,0.0010849607642740011,steel arch bridge,821,0.0010129505535587668,flagpole,557,0.0009484926122240722,kite,21,0.0008926307782530785
1,parachute,701,0.5027191638946533,balloon,417,0.002836619270965457,airship,405,0.0015583360800519586,kite,21,0.0012885936303064227,Band Aid,419,0.0012499140575528145
2,parachute,701,0.5712083578109741,balloon,417,0.05862125754356384,valley,979,0.009036043658852577,lakeside,975,0.0022527752444148064,cliff,972,0.002248377539217472
3,parachute,701,0.5102596282958984,cabbage butterfly,324,0.005099589470773935,sulphur butterfly,325,0.004453408066183329,Australian terrier,193,0.0015182606875896454,Brabancon griffon,262,0.0014772301074117422
4,parachute,701,0.6933777332305908,coil,506,0.006603818386793137,knot,616,0.004499991424381733,ladybug,301,0.001477580051869154,nematode,111,0.0013635056093335152
5,parachute,701,0.29977354407310486,airship,405,0.08176600933074951,warplane,895,0.05607596039772034,wing,908,0.017379339784383774,tick,78,0.00964550394564867
6,parachute,701,0.481991708278656,hamster,333,0.001132122240960598,beaver,337,0.0010989420115947723,Irish wolfhound,170,0.0010916264727711678,chimpanzee,367,0.0010813330300152302
7,parachute,701,0.30416345596313477,airship,405,0.01110850740224123,macaw,88,0.005727071315050125,balloon,417,0.0043382057920098305,goldfish,1,0.0031136234756559134
8,parachute,701,0.469905287027359,balloon,417,0.03150232508778572,mitten,658,0.004192430060356855,whistle,902,0.0041846646927297115,bib,443,0.0037570735439658165
9,parachute,701,0.4714377522468567,ant,310,0.01026042178273201,Band Aid,419,0.004378053359687328,tick,78,0.0026786860544234514,eft,27,0.0023925374262034893
10,parachute,701,0.41203486919403076,kite,21,0.0045322235673666,balloon,417,0.0026963637210428715,vulture,23,0.0025353943929076195,bubble,971,0.0025140915531665087
11,parachute,701,0.4552187919616699,balloon,417,0.0020233846735209227,panpipe,699,0.0018029689090326428,seashore,978,0.001608573948033154,chimpanzee,367,0.0011825590627267957
12,parachute,701,0.4871915280818939,coil,506,0.024989573284983635,knot,616,0.01791948825120926,nematode,111,0.006998644210398197,ski,795,0.0030630917754024267
13,parachute,701,0.4271378815174103,nematode,111,0.0029351492412388325,seashore,978,0.0014536009402945638,Siamese cat,284,0.0013468788238242269,ant,310,0.001301602809689939
14,parachute,701,0.5838459134101868,balloon,417,0.007295659277588129,hatchet,596,0.004311727359890938,screw,783,0.003851481480523944,hammer,587,0.003718217369168997
15,parachute,701,0.5075913667678833,balloon,417,0.05315196514129639,pole,733,0.018094558268785477,hook,600,0.013139652088284492,crane,517,0.009620807133615017
16,parachute,701,0.6809592247009277,balloon,417,0.0018756459467113018,kite,21,0.0015224663075059652,ski,795,0.001468380563892424,seashore,978,0.001313140382990241
17,parachute,701,0.45940810441970825,nematode,111,0.005608479492366314,starfish,327,0.005014075897634029,flagpole,557,0.002811408368870616,coil,506,0.0023420427460223436
18,parachute,701,0.6024664640426636,balloon,417,0.002300555119290948,airship,405,0.0017657867865636945,jackfruit,955,0.0015367516316473484,starfish,327,0.0014196800766512752
19,parachute,701,0.7316189408302307,seashore,978,0.0010810119565576315,bee,309,0.001077632769010961,toucan,96,0.0009796577505767345,kite,21,0.0009000924183055758
20,parachute,701,0.23644417524337769,toucan,96,0.010440646670758724,kite,21,0.0029473137110471725,Band Aid,419,0.002728481311351061,hummingbird,94,0.002632037503644824
21,parachute,701,0.38200801610946655,bald eagle,22,0.03225851431488991,kite,21,0.015394430607557297,balloon,417,0.013169183395802975,albatross,146,0.008797935210168362
22,parachute,701,0.5010527968406677,flagpole,557,0.002919853897765279,umbrella,879,0.0017666458152234554,Band Aid,419,0.0015423366567119956,plastic bag,728,0.0013727897312492132
23,parachute,701,0.5191267728805542,seashore,978,0.0022252420894801617,balloon,417,0.0012402357533574104,hammerhead,4,0.001122722402215004,Siamese cat,284,0.0010889844270423055
24,parachute,701,0.4717268943786621,warplane,895,0.0031975838355720043,crane,517,0.0019963213708251715,wing,908,0.0019515379099175334,ant,310,0.0016036663437262177
25,parachute,701,0.40992313623428345,balloon,417,0.001596522401086986,kite,21,0.001347311190329492,seashore,978,0.0012153476709499955,airship,405,0.0012007021578028798
26,parachute,701,0.6033665537834167,ski,795,0.002537207677960396,kite,21,0.0020117838867008686,balloon,417,0.0017903306288644671,ruddy turnstone,139,0.001723450142890215
27,parachute,701,0.7186394929885864,balloon,417,0.0027960920706391335,corn,987,0.0016645670402795076,umbrella,879,0.0016246774466708302,ear,998,0.0012439358979463577
28,parachute,701,0.48924052715301514,balloon,417,0.0022008391097187996,airship,405,0.001885842066258192,Bedlington terrier,181,0.0014701710315421224,flagpole,557,0.0013246525777503848
29,parachute,701,0.5322676301002502,ladybug,301,0.021928314119577408,dung beetle,305,0.014319362118840218,bee,309,0.008379532024264336,tick,78,0.008298526518046856
30,parachute,701,0.5387124419212341,kite,21,0.0020170961506664753,ear,998,0.0014916687505319715,corn,987,0.001407466595992446,Band Aid,419,0.0012838345719501376
31,parachute,701,0.5829371809959412,corn,987,0.0012785173021256924,ear,998,0.0011988329933956265,isopod,126,0.0011807247065007687,chimpanzee,367,0.0010856111766770482
32,parachute,701,0.46405041217803955,balloon,417,0.0036147329956293106,toucan,96,0.0034211906604468822,butternut squash,942,0.0024740034714341164,nematode,111,0.0020705913193523884
33,parachute,701,0.5033374428749084,seashore,978,0.0012557439040392637,ladybug,301,0.0011262918123975396,balloon,417,0.0011161437723785639,nematode,111,0.0010941695654764771
34,parachute,701,0.39554232358932495,oystercatcher,143,0.0033617839217185974,seashore,978,0.0032294157426804304,lakeside,975,0.0024231879506260157,black swan,100,0.002146567450836301
35,parachute,701,0.6586772799491882,bubble,971,0.012125572189688683,airship,405,0.0029180217534303665,seashore,978,0.0024794612545520067,kite,21,0.00199833232909441
36,parachute,701,0.36384767293930054,ladybug,301,0.007907601073384285,hip,989,0.007217970676720142,balloon,417,0.004680391401052475,leaf beetle,304,0.002426097635179758
37,parachute,701,0.41342777013778687,fireboat,554,0.005136711988598108,wing,908,0.0038602775894105434,balloon,417,0.003441855078563094,airship,405,0.0032664956524968147
38,parachute,701,0.2990965247154236,ant,310,0.00450511509552598,seashore,978,0.0021868140902370214,bee,309,0.001993172336369753,cockroach,314,0.001677073072642088
39,parachute,701,0.5887495279312134,umbrella,879,0.02061685360968113,balloon,417,0.010341659188270569,jellyfish,107,0.0038910142611712217,ant,310,0.0036066221073269844
