case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,garbage truck,569,0.5672717690467834,trailer truck,867,0.013650764711201191,tow truck,864,0.0029486927669495344,moving van,675,0.0027593658305704594,police van,734,0.0020923842675983906
1,garbage truck,569,0.4100576341152191,trailer truck,867,0.028277169913053513,tow truck,864,0.016979210078716278,snowplow,803,0.0111662233248353,crane,517,0.004031485412269831
2,garbage truck,569,0.3263023793697357,moving van,675,0.01748964749276638,trailer truck,867,0.012933308258652687,tow truck,864,0.00359829212538898,forklift,561,0.00343963666819036
3,garbage truck,569,0.45973390340805054,trailer truck,867,0.010321448557078838,crane,517,0.0050026956014335155,snowplow,803,0.004780986811965704,forklift,561,0.003761609550565481
4,garbage truck,569,0.19900649785995483,trailer truck,867,0.04560485854744911,snowplow,803,0.028939178213477135,tow truck,864,0.00987720862030983,moving van,675,0.008517662063241005
5,garbage truck,569,0.45032256841659546,fire engine,555,0.017507405951619148,trailer truck,867,0.012198997661471367,tow truck,864,0.012143099680542946,snowplow,803,0.008056805469095707
6,garbage truck,569,0.24268878996372223,snowplow,803,0.062158819288015366,trailer truck,867,0.02577141858637333,crane,517,0.010952356271445751,moving van,675,0.006967846769839525
7,garbage truck,569,0.20824138820171356,trailer truck,867,0.14911621809005737,moving van,675,0.018546922132372856,tow truck,864,0.01803874410688877,snowplow,803,0.0161130353808403
8,garbage truck,569,0.37588822841644287,trailer truck,867,0.03076004795730114,tow truck,864,0.029744962230324745,snowplow,803,0.020268242806196213,crane,517,0.006649621296674013
9,garbage truck,569,0.1927805095911026,trailer truck,867,0.10898000746965408,tow truck,864,0.02664119005203247,snowplow,803,0.011542928405106068,forklift,561,0.009057575836777687
10,fire engine,555,0.11372159421443939,garbage truck,569,0.10488850623369217,trailer truck,867,0.05386887490749359,tow truck,864,0.046358510851860046,moving van,675,0.00483211874961853
11,garbage truck,569,0.4239521920681,snowplow,803,0.03786954656243324,trailer truck,867,0.035995882004499435,crane,517,0.015694988891482353,tow truck,864,0.014133935794234276
12,garbage truck,569,0.2650739550590515,crane,517,0.08394664525985718,snowplow,803,0.03416925296187401,trailer truck,867,0.03318675607442856,school bus,779,0.007784782908856869
