case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,gas pump,571,0.608587384223938,vending machine,886,0.004002887289971113,pay-phone,707,0.0022821177262812853,mailbox,637,0.0014500172110274434,fireboat,554,0.001069539226591587
1,parking meter,704,0.12327386438846588,gas pump,571,0.10704051703214645,ashcan,412,0.06472718715667725,pay-phone,707,0.045739028602838516,vending machine,886,0.034018147736787796
2,gas pump,571,0.6911416053771973,stopwatch,826,0.006748612970113754,vending machine,886,0.005978953093290329,digital clock,530,0.0038398767355829477,digital watch,531,0.0030799563974142075
3,gas pump,571,0.31314653158187866,cash machine,480,0.013951028697192669,pay-phone,707,0.008509954437613487,parking meter,704,0.00779007701203227,vending machine,886,0.007432287558913231
4,gas pump,571,0.35245952010154724,cash machine,480,0.027319077402353287,vending machine,886,0.007186144590377808,pay-phone,707,0.00587159488350153,vacuum,882,0.0033762298990041018
5,gas pump,571,0.44883060455322266,vending machine,886,0.009379308670759201,ashcan,412,0.007636613212525845,cash machine,480,0.0049346983432769775,parking meter,704,0.004039650317281485
6,gas pump,571,0.2759634852409363,vending machine,886,0.04936135187745094,pay-phone,707,0.02139134518802166,cash machine,480,0.002800555666908622,ambulance,407,0.0025949464179575443
7,gas pump,571,0.46571967005729675,vending machine,886,0.033218033611774445,cash machine,480,0.014594422653317451,ashcan,412,0.012716944329440594,pay-phone,707,0.010131485760211945
8,gas pump,571,0.352904736995697,cash machine,480,0.010593457147479057,vending machine,886,0.008593017235398293,pay-phone,707,0.006204051896929741,parking meter,704,0.004487174563109875
9,gas pump,571,0.21328981220722198,pay-phone,707,0.0039215004071593285,vending machine,886,0.0036610690876841545,turnstile,877,0.0024666977114975452,cash machine,480,0.0023641055449843407
10,gas pump,571,0.2728882133960724,mailbox,637,0.004452704917639494,fireboat,554,0.0032539067324250937,tow truck,864,0.002328563714399934,ashcan,412,0.002142686164006591
11,gas pump,571,0.45901593565940857,ashcan,412,0.002484064782038331,mailbox,637,0.0020981135312467813,stopwatch,826,0.002014943864196539,scale,778,0.0017289697425439954
12,gas pump,571,0.42653506994247437,vending machine,886,0.020634716376662254,cash machine,480,0.009708640165627003,mailbox,637,0.004481893964111805,fireboat,554,0.003260097000747919
13,gas pump,571,0.35859936475753784,vending machine,886,0.010303760878741741,pay-phone,707,0.00786241888999939,cash machine,480,0.004056323319673538,mailbox,637,0.0021575260907411575
14,gas pump,571,0.683263897895813,vending machine,886,0.002215395914390683,pay-phone,707,0.002009450225159526,cash machine,480,0.0009420766727998853,fireboat,554,0.0008699010941199958
15,gas pump,571,0.43285778164863586,vending machine,886,0.008702742867171764,cash machine,480,0.007743837311863899,pay-phone,707,0.0053179338574409485,fireboat,554,0.003984604962170124
