case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tape player,848,0.1768551915884018,cassette player,482,0.15634356439113617,CD player,485,0.13991951942443848,radio,754,0.0476355254650116,cassette,481,0.03584269806742668
1,tape player,848,0.12785246968269348,CD player,485,0.12425606697797775,cassette player,482,0.07798909395933151,cassette,481,0.07212354987859726,radio,754,0.031739674508571625
2,tape player,848,0.2803717851638794,cassette player,482,0.13612100481987,CD player,485,0.09335676580667496,radio,754,0.03794904425740242,cassette,481,0.029455866664648056
3,cassette player,482,0.16611571609973907,tape player,848,0.16106738150119781,CD player,485,0.11178047955036163,radio,754,0.042532701045274734,cassette,481,0.019567027688026428
4,CD player,485,0.15909595787525177,tape player,848,0.12306146323680878,cassette player,482,0.11355186998844147,radio,754,0.04949185624718666,cassette,481,0.02992299199104309
5,tape player,848,0.39715084433555603,cassette player,482,0.13016486167907715,CD player,485,0.07261771708726883,radio,754,0.01638571359217167,desktop computer,527,0.013891762122511864
6,CD player,485,0.12929634749889374,tape player,848,0.12419398874044418,cassette player,482,0.10703118145465851,radio,754,0.06510080397129059,cassette,481,0.03661132976412773
7,tape player,848,0.1955472230911255,cassette player,482,0.17530786991119385,CD player,485,0.07832641899585724,cassette,481,0.06959184259176254,radio,754,0.05061914771795273
8,tape player,848,0.23983530700206757,cassette player,482,0.17057272791862488,cassette,481,0.05156639963388443,CD player,485,0.0493236780166626,radio,754,0.02985330857336521
9,tape player,848,0.19437457621097565,CD player,485,0.105618417263031,cassette player,482,0.09246013313531876,cassette,481,0.05231410637497902,radio,754,0.027908455580472946
