case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.6481377482414246,cornet,513,0.006814641412347555,trombone,875,0.006601166911423206,oboe,683,0.0019492718856781721,sax,776,0.0018194165313616395
1,French horn,566,0.548734724521637,trombone,875,0.002612477168440819,mixing bowl,659,0.0025657115038484335,wig,903,0.002270122291520238,caldron,469,0.001861629425548017
2,French horn,566,0.45622265338897705,cornet,513,0.01229684054851532,trombone,875,0.010724599473178387,sax,776,0.005270322784781456,eel,390,0.003043259959667921
3,French horn,566,0.3762127459049225,trombone,875,0.025569787248969078,cornet,513,0.005268642213195562,oboe,683,0.0021495965775102377,sax,776,0.0019891830161213875
4,French horn,566,0.43884122371673584,trombone,875,0.003930598963052034,cornet,513,0.003894861089065671,bassoon,432,0.003588812192901969,oboe,683,0.00231688073836267
5,French horn,566,0.10104816406965256,trombone,875,0.0729203149676323,ladle,618,0.061572153121232986,shield,787,0.040544334799051285,cornet,513,0.03126104921102524
6,French horn,566,0.46279463171958923,trombone,875,0.004686420783400536,cornet,513,0.004411142785102129,gong,577,0.003193360287696123,bassoon,432,0.002475455868989229
7,French horn,566,0.4462442696094513,cornet,513,0.004152125678956509,trombone,875,0.0026605846360325813,oboe,683,0.0022739253472536802,bassoon,432,0.0018745025154203176
8,French horn,566,0.4778648018836975,cornet,513,0.02100714109838009,trombone,875,0.012739773839712143,sax,776,0.0030466115567833185,eel,390,0.0025714687071740627
9,French horn,566,0.7090810537338257,cornet,513,0.00877245981246233,trombone,875,0.0038439612835645676,oboe,683,0.0023766758386045694,bassoon,432,0.001885137869976461
