case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,cash machine,480,0.2557882070541382,gas pump,571,0.05437041446566582,vending machine,886,0.05145471543073654,pay-phone,707,0.008193428628146648,parking meter,704,0.007928109727799892
1,gas pump,571,0.2889353036880493,vending machine,886,0.02970430813729763,cash machine,480,0.019904518499970436,pay-phone,707,0.005580676719546318,parking meter,704,0.003576554823666811
2,cash machine,480,0.18868732452392578,vending machine,886,0.18288812041282654,gas pump,571,0.07977734506130219,parking meter,704,0.011442423798143864,mailbox,637,0.00977161806076765
3,gas pump,571,0.43758103251457214,cash machine,480,0.16250737011432648,mailbox,637,0.017359230667352676,vending machine,886,0.009698186069726944,pay-phone,707,0.007743503898382187
4,gas pump,571,0.10838069766759872,mailbox,637,0.09943144768476486,cash machine,480,0.0636424869298935,vending machine,886,0.03995361179113388,pay-phone,707,0.010079666040837765
5,cash machine,480,0.16570013761520386,gas pump,571,0.10147131979465485,vending machine,886,0.018110521137714386,mailbox,637,0.015371214598417282,pay-phone,707,0.010981646366417408
6,vending machine,886,0.22307728230953217,gas pump,571,0.0977519080042839,cash machine,480,0.09323927015066147,parking meter,704,0.05136343836784363,ashcan,412,0.008497549220919609
7,mailbox,637,0.19319041073322296,cash machine,480,0.09480252116918564,gas pump,571,0.06826647371053696,pay-phone,707,0.03797312453389168,vending machine,886,0.016317471861839294
8,vending machine,886,0.24956128001213074,cash machine,480,0.1270514577627182,parking meter,704,0.015437750145792961,gas pump,571,0.01536000519990921,pop bottle,737,0.004279426299035549
9,cash machine,480,0.28966304659843445,gas pump,571,0.08080673217773438,mailbox,637,0.02851889654994011,vending machine,886,0.025157060474157333,pay-phone,707,0.014478825032711029
