case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,golf ball,574,0.44543102383613586,doormat,539,0.0020944932475686073,remote control,761,0.0010521749500185251,water jug,899,0.0010321419686079025,tennis ball,852,0.0010231247870251536
1,golf ball,574,0.42173606157302856,thimble,855,0.002444690326228738,gibbon,368,0.0022845149505883455,tennis ball,852,0.0019253725185990334,binder,446,0.0016641778638586402
2,golf ball,574,0.4471312165260315,thimble,855,0.002337835030630231,tennis ball,852,0.0022923361975699663,hermit crab,125,0.002212153747677803,lens cap,622,0.002111343899741769
3,golf ball,574,0.4248940348625183,doormat,539,0.0025854131672531366,dung beetle,305,0.0020091866608709097,leatherback turtle,34,0.0017522632842883468,thimble,855,0.0015947548672556877
4,golf ball,574,0.4619467854499817,thimble,855,0.0013570890296250582,tennis ball,852,0.001021400559693575,lens cap,622,0.0009584876243025064,remote control,761,0.0009498366853222251
5,golf ball,574,0.39412230253219604,thimble,855,0.0014078161912038922,tennis ball,852,0.0013767847558483481,Lhasa,204,0.0013103242963552475,ptarmigan,81,0.0011974010849371552
6,golf ball,574,0.3541780412197113,tennis ball,852,0.001328784041106701,thimble,855,0.00132671685423702,ballpoint,418,0.0012896867701783776,binder,446,0.0012245423858985305
7,golf ball,574,0.43723613023757935,thimble,855,0.0014902557013556361,Shih-Tzu,155,0.0012170011177659035,ballplayer,981,0.0011835175100713968,bath towel,434,0.0011802257504314184
8,golf ball,574,0.45510929822921753,wombat,106,0.0014227137435227633,Siamese cat,284,0.0013348712818697095,koala,105,0.001268968335352838,water buffalo,346,0.001215985743328929
9,golf ball,574,0.562835693359375,remote control,761,0.0008868316654115915,thimble,855,0.0008637127466499805,saltshaker,773,0.0008349433774128556,Petri dish,712,0.0007736912812106311
