case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,parachute,701,0.42185255885124207,sulphur butterfly,325,0.0049668848514556885,butternut squash,942,0.0017900796374306083,balloon,417,0.0015738001093268394,orange,950,0.0014316459419205785
1,parachute,701,0.5217905640602112,orange,950,0.002332959556952119,balloon,417,0.0019585785921663046,jellyfish,107,0.0017156675457954407,butternut squash,942,0.001689256401732564
2,parachute,701,0.5557819604873657,plastic bag,728,0.0025526939425617456,jellyfish,107,0.0022009804379194975,warplane,895,0.0019184856209903955,maypole,645,0.0015831032069399953
3,parachute,701,0.5957031846046448,balloon,417,0.006638553459197283,warplane,895,0.0035541425459086895,ladybug,301,0.0026360685005784035,wing,908,0.0025726105086505413
4,parachute,701,0.5991210341453552,sleeping bag,797,0.011718853376805782,flagpole,557,0.006450861692428589,umbrella,879,0.0057187769562006,plastic bag,728,0.00528915598988533
5,parachute,701,0.5784342288970947,balloon,417,0.006049812771379948,airship,405,0.0038778535090386868,bubble,971,0.0034647996071726084,seashore,978,0.0028527474496513605
6,parachute,701,0.48298537731170654,balloon,417,0.0014071393525227904,kite,21,0.001404526294209063,seashore,978,0.0013561564264819026,airship,405,0.001284907222725451
7,parachute,701,0.47687798738479614,steel arch bridge,821,0.001270815497264266,chimpanzee,367,0.0009987986413761973,balloon,417,0.0009804576402530074,Irish wolfhound,170,0.0009410867351107299
8,parachute,701,0.4611130952835083,warplane,895,0.0045361146330833435,kite,21,0.0043790098279714584,wing,908,0.0035251150839030743,balloon,417,0.003416517050936818
9,parachute,701,0.6334211230278015,kite,21,0.0011850215960294008,warplane,895,0.001170182484202087,airship,405,0.0011227132054045796,slug,114,0.0011159820714965463
