case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.24866101145744324,necklace,679,0.008326474577188492,trombone,875,0.005884810350835323,chain,488,0.005709060002118349,mask,643,0.005306262988597155
1,French horn,566,0.17705866694450378,buckle,464,0.0116118174046278,Dungeness crab,118,0.011368324980139732,chain mail,490,0.010317735373973846,chain,488,0.009813584387302399
2,French horn,566,0.22706852853298187,necklace,679,0.019293736666440964,trombone,875,0.011510716751217842,mask,643,0.00876540131866932,buckle,464,0.007253620773553848
3,French horn,566,0.5489572286605835,cornet,513,0.014818776398897171,trombone,875,0.013056514784693718,oboe,683,0.0057402742095291615,bassoon,432,0.004368215799331665
4,French horn,566,0.07745493203401566,necklace,679,0.07711202651262283,chain,488,0.015456436201930046,knot,616,0.00644336361438036,chain mail,490,0.005832528695464134
5,French horn,566,0.3392120897769928,trombone,875,0.009889586828649044,bassoon,432,0.00554417772218585,oboe,683,0.005504020489752293,dial telephone,528,0.004072131123393774
6,French horn,566,0.14013974368572235,chain,488,0.06274757534265518,necklace,679,0.05693256855010986,mask,643,0.024607179686427116,chain mail,490,0.013853081502020359
7,French horn,566,0.2227575182914734,necklace,679,0.09114702045917511,mortarboard,667,0.01692609302699566,trombone,875,0.01513037271797657,cornet,513,0.014656725339591503
8,French horn,566,0.19676189124584198,shoe shop,788,0.009731464087963104,Dungeness crab,118,0.009580454789102077,trombone,875,0.006360743660479784,wig,903,0.004927066154778004
9,French horn,566,0.27412575483322144,trombone,875,0.017956560477614403,cornet,513,0.009529288858175278,shoe shop,788,0.009482420049607754,mortarboard,667,0.005820160266011953
