case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tench,0,0.4654693603515625,barracouta,389,0.0029751735273748636,teddy,850,0.0016762337181717157,coho,391,0.0014974100049585104,platypus,103,0.0012580305337905884
1,tench,0,0.4166005849838257,barracouta,389,0.002943763043731451,axolotl,29,0.0011415502522140741,spaghetti squash,940,0.0011230717645958066,platypus,103,0.0010695932433009148
2,tench,0,0.5991782546043396,anemone fish,393,0.003470689058303833,rock beauty,392,0.0032126710284501314,barracouta,389,0.0031205937266349792,goldfish,1,0.0025059233885258436
3,tench,0,0.43327340483665466,barracouta,389,0.010943993926048279,coho,391,0.005508955102413893,sturgeon,394,0.004170398693531752,gar,395,0.0034079879987984896
4,tench,0,0.57201087474823,barracouta,389,0.00935153104364872,gar,395,0.0034734567161649466,coho,391,0.00308034080080688,sturgeon,394,0.0019360603764653206
5,tench,0,0.5940654873847961,barracouta,389,0.01081157848238945,coho,391,0.002860473468899727,sturgeon,394,0.0015492853708565235,eel,390,0.0015119138406589627
6,tench,0,0.46160200238227844,barracouta,389,0.0019456077134236693,bath towel,434,0.001055681612342596,platypus,103,0.001047807396389544,axolotl,29,0.001025475445203483
7,tench,0,0.5846986770629883,barracouta,389,0.03386124595999718,gar,395,0.00495888153091073,coho,391,0.0033961222507059574,sturgeon,394,0.0025565780233591795
8,tench,0,0.5242148637771606,barracouta,389,0.010029369033873081,coho,391,0.003438032465055585,gar,395,0.0025379066355526447,sturgeon,394,0.002002787310630083
9,tench,0,0.5359108448028564,barracouta,389,0.002314402721822262,jackfruit,955,0.001234342809766531,coho,391,0.0011554881930351257,lakeside,975,0.0010414608987048268
