case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,chain saw,491,0.6000929474830627,lumbermill,634,0.002325416309759021,harvester,595,0.002037550788372755,tow truck,864,0.001481949002481997,mountain tent,672,0.0013586482964456081
1,chain saw,491,0.6036935448646545,power drill,740,0.004927696194499731,carpenter's kit,477,0.001312541076913476,hammer,587,0.0011893004411831498,bow,456,0.001119905267842114
2,chain saw,491,0.7068136930465698,lawn mower,621,0.010544518008828163,harvester,595,0.005624743178486824,power drill,740,0.0039140828885138035,lumbermill,634,0.001636603963561356
3,chain saw,491,0.5582030415534973,power drill,740,0.002674498362466693,moped,665,0.0026599764823913574,motor scooter,670,0.002505301032215357,jeep,609,0.0022134457249194384
4,chain saw,491,0.2319968193769455,power drill,740,0.010199807584285736,carpenter's kit,477,0.0026949497405439615,sea cucumber,329,0.002064410364255309,seat belt,785,0.0020634497050195932
5,chain saw,491,0.5350573062896729,hen-of-the-woods,996,0.005031289532780647,snowmobile,802,0.004305986221879721,lumbermill,634,0.004205197095870972,stone wall,825,0.003327652346342802
6,chain saw,491,0.4169809818267822,power drill,740,0.006345146335661411,wombat,106,0.0018636672757565975,triceratops,51,0.0015595502918586135,pole,733,0.0014581044670194387
7,chain saw,491,0.3182995617389679,mountain bike,671,0.024852074682712555,unicycle,880,0.0046932692639529705,bulletproof vest,465,0.004515130538493395,crash helmet,518,0.004139058757573366
8,chain saw,491,0.13429918885231018,seat belt,785,0.003575337817892432,power drill,740,0.003464033827185631,harvester,595,0.0030690317507833242,carpenter's kit,477,0.0024538571015000343
9,chain saw,491,0.7111189365386963,ski mask,796,0.001189255970530212,mountain bike,671,0.0009341943077743053,ladybug,301,0.0008049698662944138,maze,646,0.0007498033810406923
