case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,garbage truck,569,0.23209349811077118,fire engine,555,0.04639269784092903,trailer truck,867,0.016166482120752335,tow truck,864,0.010086272843182087,snowplow,803,0.008745633997023106
1,garbage truck,569,0.6223933100700378,snowplow,803,0.013927045278251171,harvester,595,0.010800766758620739,thresher,856,0.009871135465800762,tractor,866,0.0073670074343681335
2,garbage truck,569,0.3638870120048523,trailer truck,867,0.05603639781475067,tow truck,864,0.01228675153106451,snowplow,803,0.005537665914744139,moving van,675,0.004483153112232685
3,garbage truck,569,0.21745404601097107,trailer truck,867,0.1198640689253807,tow truck,864,0.01982654258608818,snowplow,803,0.014940124936401844,moving van,675,0.004307134076952934
4,garbage truck,569,0.2848832309246063,trailer truck,867,0.07580974698066711,snowplow,803,0.02166961133480072,tow truck,864,0.01154603436589241,forklift,561,0.003895348170772195
5,garbage truck,569,0.5122206807136536,trailer truck,867,0.02127934992313385,police van,734,0.005065225530415773,snowplow,803,0.004070993512868881,tow truck,864,0.0036110039800405502
6,garbage truck,569,0.39214664697647095,trailer truck,867,0.08590572327375412,tow truck,864,0.026668192818760872,moving van,675,0.016219625249505043,snowplow,803,0.011375070549547672
7,garbage truck,569,0.3690839409828186,trailer truck,867,0.029982497915625572,tow truck,864,0.011486304923892021,snowplow,803,0.005351200699806213,ambulance,407,0.004795109387487173
8,garbage truck,569,0.2684673070907593,tow truck,864,0.045187633484601974,trailer truck,867,0.0397624634206295,snowplow,803,0.028190940618515015,crane,517,0.003417456755414605
9,garbage truck,569,0.39344537258148193,fire engine,555,0.04682992026209831,tow truck,864,0.040026962757110596,snowplow,803,0.020608771592378616,trailer truck,867,0.015520288608968258
