case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tench,0,0.424957811832428,barracouta,389,0.0025491160340607166,platypus,103,0.001982665155082941,pickelhaube,715,0.0018759611994028091,axolotl,29,0.0018265288090333343
1,tench,0,0.4815188944339752,flatworm,110,0.00470029516145587,barracouta,389,0.004607140086591244,goldfish,1,0.004167873878031969,coral reef,973,0.0032067063730210066
2,tench,0,0.6866196990013123,barracouta,389,0.01065501943230629,reel,758,0.0036353834439069033,rock beauty,392,0.0036343017127364874,coral reef,973,0.002129362430423498
3,tench,0,0.4502788186073303,barracouta,389,0.003138791536912322,reel,758,0.001646783552132547,goldfish,1,0.0013136679772287607,pickelhaube,715,0.0013031038688495755
4,tench,0,0.49362459778785706,reel,758,0.0016469198744744062,barracouta,389,0.0016278676921501756,rock beauty,392,0.0013853255659341812,marmot,336,0.001241775811649859
5,tench,0,0.4357951283454895,barracouta,389,0.002201562514528632,pickelhaube,715,0.002116079442203045,platypus,103,0.001334077795036137,thatch,853,0.001153120887465775
6,tench,0,0.5186301469802856,barracouta,389,0.008144562132656574,coho,391,0.0038254994433373213,reel,758,0.0028988239355385303,gar,395,0.0019491910934448242
7,tench,0,0.5078495740890503,barracouta,389,0.0566268116235733,gar,395,0.01347851101309061,coho,391,0.012160224840044975,reel,758,0.008129408583045006
8,tench,0,0.5597784519195557,barracouta,389,0.0075448136776685715,gar,395,0.0038721796590834856,reel,758,0.0017960984259843826,coho,391,0.0013983100652694702
9,tench,0,0.4132535755634308,barracouta,389,0.017156139016151428,sturgeon,394,0.0034443100448697805,coho,391,0.0031234975904226303,gar,395,0.003120810491964221
