case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,chain saw,491,0.28844153881073,stretcher,830,0.0858503058552742,snowmobile,802,0.005173102021217346,power drill,740,0.004142358899116516,ambulance,407,0.003684058552607894
1,chain saw,491,0.6963467001914978,mousetrap,674,0.012316870503127575,plow,730,0.004594453144818544,shovel,792,0.003550918772816658,hammer,587,0.0034732846543192863
2,chain saw,491,0.7443414926528931,power drill,740,0.022611098363995552,mailbox,637,0.003705679439008236,lawn mower,621,0.002911370014771819,vacuum,882,0.0022170101292431355
3,chain saw,491,0.28564465045928955,jeep,609,0.00600497517734766,hen-of-the-woods,996,0.00261257984675467,American black bear,295,0.0021340884268283844,suspension bridge,839,0.0021227477118372917
4,chain saw,491,0.17792801558971405,sea cucumber,329,0.009984922595322132,ant,310,0.0045805424451828,coral fungus,991,0.0044786278158426285,jeep,609,0.0041810814291238785
5,chain saw,491,0.3372591733932495,moped,665,0.011012877337634563,motor scooter,670,0.010868934914469719,disk brake,535,0.007723613642156124,power drill,740,0.00742896506562829
6,chain saw,491,0.3802177309989929,street sign,919,0.0030086676124483347,mountain bike,671,0.0025787982158362865,plane,726,0.002191346138715744,rule,769,0.002133456990122795
7,chain saw,491,0.32437556982040405,clumber,216,0.004643072374165058,mountain bike,671,0.003458229126408696,apiary,410,0.0033811829052865505,hen-of-the-woods,996,0.002856772392988205
8,chain saw,491,0.3735351860523224,mountain bike,671,0.02165393903851509,chain,488,0.009230920113623142,moped,665,0.00884881243109703,swing,843,0.0069894022308290005
9,chain saw,491,0.595603883266449,power drill,740,0.0025692274793982506,ski mask,796,0.0021210152190178633,lumbermill,634,0.0018619473557919264,ladybug,301,0.0017376206815242767
