case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.17181050777435303,mixing bowl,659,0.01813844032585621,vault,884,0.01750286854803562,caldron,469,0.015348260290920734,safety pin,772,0.015336204320192337
1,shield,787,0.23487430810928345,sundial,835,0.14763621985912323,wall clock,892,0.019177861511707306,brass,458,0.01371425949037075,French horn,566,0.011028372682631016
2,knot,616,0.047781310975551605,acorn,988,0.03449739143252373,mask,643,0.029616277664899826,French horn,566,0.023069346323609352,corn,987,0.018490055575966835
3,cornet,513,0.1587122529745102,sax,776,0.036649469286203384,French horn,566,0.03200262412428856,perfume,711,0.027959655970335007,revolver,763,0.015654126182198524
4,French horn,566,0.395517498254776,mortar,666,0.008614271879196167,mixing bowl,659,0.008080264553427696,perfume,711,0.007315849419683218,eel,390,0.005069530103355646
5,French horn,566,0.4103933870792389,nail,677,0.017012430354952812,trombone,875,0.01603947952389717,cornet,513,0.012577857822179794,piggy bank,719,0.011304482817649841
6,beer glass,441,0.12300179153680801,French horn,566,0.09485526382923126,vault,884,0.05428721755743027,shield,787,0.023814095184206963,mixing bowl,659,0.015689928084611893
7,French horn,566,0.19701065123081207,goblet,572,0.0480898916721344,perfume,711,0.0305763091892004,ladle,618,0.02828385680913925,shield,787,0.020809819921851158
8,French horn,566,0.3199740946292877,shield,787,0.023798923939466476,vault,884,0.016739489510655403,gong,577,0.008469858206808567,ladle,618,0.008171387016773224
9,perfume,711,0.24395610392093658,French horn,566,0.10983632504940033,goblet,572,0.04067912697792053,water bottle,898,0.036933816969394684,wine bottle,907,0.025888603180646896
