case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.5433539748191833,trombone,875,0.004318736027926207,bassoon,432,0.003845768515020609,cornet,513,0.003693212289363146,gibbon,368,0.0026505528949201107
1,French horn,566,0.5787153840065002,trombone,875,0.009959978982806206,cornet,513,0.007843567989766598,sax,776,0.005588475614786148,church,497,0.0023187941405922174
2,French horn,566,0.4620409607887268,cornet,513,0.016006387770175934,ladle,618,0.01242901012301445,trombone,875,0.010792951099574566,organ,687,0.00852951593697071
3,French horn,566,0.5714401602745056,cornet,513,0.002489869948476553,trombone,875,0.002203259849920869,pick,714,0.0019920070189982653,sax,776,0.001753667718730867
4,French horn,566,0.5545822381973267,cornet,513,0.0034294622018933296,bassoon,432,0.0025027820374816656,trombone,875,0.0024293018504977226,oboe,683,0.002224051160737872
5,French horn,566,0.6039720773696899,cornet,513,0.005477102007716894,trombone,875,0.00480929808691144,bassoon,432,0.003192479256540537,sax,776,0.0031576005276292562
6,French horn,566,0.6548492908477783,cornet,513,0.005258169956505299,trombone,875,0.0045533315278589725,bassoon,432,0.0035686823539435863,sax,776,0.00345402373932302
7,French horn,566,0.5254102349281311,trombone,875,0.003224762622267008,cornet,513,0.00277173169888556,bassoon,432,0.002664706902578473,gibbon,368,0.0019377929857000709
8,French horn,566,0.36423155665397644,muzzle,676,0.01506695244461298,rocking chair,765,0.003816025098785758,bassoon,432,0.002880676416680217,cornet,513,0.002831205492839217
9,French horn,566,0.7126476764678955,oboe,683,0.0074553536251187325,trombone,875,0.00597373815253377,bassoon,432,0.005813521798700094,sax,776,0.0037140878848731518
