case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,gas pump,571,0.27182191610336304,vending machine,886,0.05418149009346962,cash machine,480,0.016423437744379044,pay-phone,707,0.00371295097284019,mailbox,637,0.0028960895724594593
1,gas pump,571,0.17321570217609406,vending machine,886,0.11240092664957047,parking meter,704,0.02281283028423786,cash machine,480,0.01148194633424282,pay-phone,707,0.005255105905234814
2,cash machine,480,0.19307631254196167,vending machine,886,0.18469958007335663,gas pump,571,0.039832718670368195,espresso maker,550,0.004580369684845209,pop bottle,737,0.003336056135594845
3,gas pump,571,0.2881198227405548,vending machine,886,0.06091668829321861,cash machine,480,0.040601637214422226,parking meter,704,0.02597389928996563,pay-phone,707,0.013205328956246376
4,gas pump,571,0.287081778049469,cash machine,480,0.08028309792280197,pay-phone,707,0.06102829426527023,vending machine,886,0.045849140733480453,mailbox,637,0.03731309249997139
5,gas pump,571,0.36471158266067505,vending machine,886,0.03084232658147812,cash machine,480,0.010115965269505978,pay-phone,707,0.005706898868083954,mailbox,637,0.003297217655926943
6,cash machine,480,0.3214366137981415,gas pump,571,0.08730798214673996,vending machine,886,0.061074379831552505,parking meter,704,0.008937301114201546,pay-phone,707,0.004641008097678423
7,gas pump,571,0.26635977625846863,mailbox,637,0.06362449377775192,vending machine,886,0.047375839203596115,cash machine,480,0.016716070473194122,pay-phone,707,0.008531919680535793
8,cash machine,480,0.2229742705821991,vending machine,886,0.09649290889501572,gas pump,571,0.06632056832313538,parking meter,704,0.005093560088425875,stretcher,830,0.004165296442806721
9,vending machine,886,0.2721787095069885,gas pump,571,0.10268748551607132,cash machine,480,0.05858547240495682,parking meter,704,0.010992719791829586,pay-phone,707,0.005843585357069969
