case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,golf ball,574,0.4681316316127777,tennis ball,852,0.0013639238895848393,Shih-Tzu,155,0.0011319491313770413,thimble,855,0.0010847385274246335,Maltese dog,153,0.0010059938067570329
1,golf ball,574,0.5782163739204407,ping-pong ball,722,0.0030551813542842865,soccer ball,805,0.0025466957595199347,tennis ball,852,0.0024399610701948404,thimble,855,0.0020983691792935133
2,golf ball,574,0.45466986298561096,croquet ball,522,0.003522791899740696,tennis ball,852,0.003137495368719101,thimble,855,0.0023704750929027796,ping-pong ball,722,0.00203477474860847
3,golf ball,574,0.5246620178222656,thimble,855,0.0032589819747954607,ping-pong ball,722,0.002153177745640278,gibbon,368,0.0017023910768330097,tennis ball,852,0.0014927176525816321
4,golf ball,574,0.4620111882686615,thimble,855,0.0016499244375154376,bib,443,0.0014449647860601544,croquet ball,522,0.0013187481090426445,ping-pong ball,722,0.0012095022248104215
5,golf ball,574,0.5742165446281433,ping-pong ball,722,0.0014432772295549512,tennis ball,852,0.0013109826250001788,croquet ball,522,0.0013023141073063016,football helmet,560,0.001101423753425479
6,golf ball,574,0.4465026557445526,ping-pong ball,722,0.002708060434088111,gibbon,368,0.0023432441521435976,tennis ball,852,0.0021110952366143465,thimble,855,0.0020595442038029432
7,golf ball,574,0.5466384291648865,ballplayer,981,0.001549269538372755,velvet,885,0.0013145201373845339,ping-pong ball,722,0.0012538190931081772,bib,443,0.0012380864936858416
8,golf ball,574,0.4559597671031952,gibbon,368,0.0055160741321742535,binder,446,0.002404109574854374,thimble,855,0.001853054971434176,koala,105,0.0017648842185735703
9,golf ball,574,0.6047917604446411,ping-pong ball,722,0.003993894439190626,gibbon,368,0.0018567483639344573,thimble,855,0.0013516792096197605,baseball,429,0.001335722510702908
