case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,CD player,485,0.1659231334924698,tape player,848,0.12548387050628662,cassette player,482,0.09055300056934357,radio,754,0.08589343726634979,cassette,481,0.037125520408153534
1,tape player,848,0.1669900268316269,CD player,485,0.1307562291622162,cassette player,482,0.11248916387557983,radio,754,0.025255173444747925,cassette,481,0.011679128743708134
2,tape player,848,0.1434047967195511,cassette player,482,0.0910734310746193,radio,754,0.08918968588113785,CD player,485,0.06850087642669678,cassette,481,0.025172807276248932
3,tape player,848,0.24318228662014008,cassette,481,0.2254461795091629,cassette player,482,0.15520238876342773,CD player,485,0.008254346437752247,switch,844,0.00566910533234477
4,tape player,848,0.15620408952236176,cassette player,482,0.14732874929904938,CD player,485,0.06553773581981659,radio,754,0.04516797512769699,cassette,481,0.04453236609697342
5,cassette player,482,0.23595364391803741,tape player,848,0.22626668214797974,CD player,485,0.05850564315915108,cassette,481,0.03785738721489906,radio,754,0.013679561205208302
6,cassette,481,0.20194680988788605,tape player,848,0.18273985385894775,cassette player,482,0.1446070373058319,CD player,485,0.024135351181030273,radio,754,0.007040602155029774
7,tape player,848,0.15268246829509735,cassette player,482,0.13262347877025604,cassette,481,0.09798341989517212,CD player,485,0.08795662969350815,radio,754,0.05642666667699814
8,cassette,481,0.2983929216861725,tape player,848,0.10803232342004776,cassette player,482,0.09688054770231247,CD player,485,0.020233476534485817,radio,754,0.006975975353270769
9,tape player,848,0.18798594176769257,cassette player,482,0.15288332104682922,CD player,485,0.0915864109992981,radio,754,0.0329260490834713,cassette,481,0.01946164295077324
