case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,garbage truck,569,0.25883975625038147,fire engine,555,0.049813076853752136,snowplow,803,0.022476766258478165,trailer truck,867,0.014822952449321747,tow truck,864,0.00968929473310709
1,garbage truck,569,0.513473629951477,snowplow,803,0.1018953025341034,crane,517,0.019367067143321037,school bus,779,0.014579053968191147,forklift,561,0.008021388202905655
2,garbage truck,569,0.41569387912750244,moving van,675,0.05001531168818474,trailer truck,867,0.021656479686498642,forklift,561,0.010994012467563152,snowplow,803,0.00790616124868393
3,garbage truck,569,0.35309839248657227,trailer truck,867,0.05652117729187012,tow truck,864,0.019247494637966156,moving van,675,0.010207027196884155,crane,517,0.006085497327148914
4,garbage truck,569,0.45833587646484375,snowplow,803,0.047660067677497864,trailer truck,867,0.031002607196569443,crane,517,0.02574237808585167,forklift,561,0.010245848447084427
5,garbage truck,569,0.4457740783691406,trailer truck,867,0.045073311775922775,tow truck,864,0.010558855719864368,fire engine,555,0.006733912508934736,crane,517,0.0062428624369204044
6,garbage truck,569,0.529366672039032,snowplow,803,0.03318179026246071,trailer truck,867,0.0038214027881622314,tow truck,864,0.0025567268021404743,crane,517,0.0022559193894267082
7,garbage truck,569,0.30054977536201477,tow truck,864,0.033410411328077316,trailer truck,867,0.020542431622743607,moving van,675,0.014224748127162457,snowplow,803,0.0049586170352995396
8,garbage truck,569,0.4457353949546814,trailer truck,867,0.06405090540647507,moving van,675,0.024036793038249016,tow truck,864,0.009958853013813496,crane,517,0.004204101860523224
9,garbage truck,569,0.22132857143878937,fire engine,555,0.06987021118402481,tow truck,864,0.04090779274702072,trailer truck,867,0.015341932885348797,thresher,856,0.007167666219174862
