case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,parachute,701,0.5315349698066711,umbrella,879,0.0024507835041731596,panpipe,699,0.0016736130928620696,balloon,417,0.0013910949928686023,flagpole,557,0.001256449380889535
1,parachute,701,0.4989238977432251,ladybug,301,0.0017607021145522594,orange,950,0.0014539362164214253,balloon,417,0.0012374749640002847,sleeping bag,797,0.0011772160651162267
2,parachute,701,0.7352268695831299,seashore,978,0.0011553203221410513,balloon,417,0.000735532259568572,Band Aid,419,0.0007158229127526283,airship,405,0.0006854544626548886
3,parachute,701,0.5815652012825012,flagpole,557,0.004367343615740538,balloon,417,0.0028952949214726686,seashore,978,0.0020983098074793816,airship,405,0.001675231964327395
4,parachute,701,0.5101746916770935,balloon,417,0.006349522620439529,umbrella,879,0.004217731300741434,valley,979,0.002547395881265402,flagpole,557,0.0016544838435947895
5,parachute,701,0.641495943069458,balloon,417,0.0024081955198198557,umbrella,879,0.002360606798902154,flagpole,557,0.002224151510745287,tick,78,0.0018354038475081325
6,parachute,701,0.6406033039093018,umbrella,879,0.009128134697675705,valley,979,0.007332396227866411,balloon,417,0.005524280946701765,alp,970,0.004208555445075035
7,parachute,701,0.41932180523872375,seashore,978,0.0015761296963319182,Irish wolfhound,170,0.001496266108006239,Border terrier,182,0.001442538807168603,ant,310,0.0014095066580921412
8,parachute,701,0.3807832598686218,wing,908,0.0018462137086316943,warplane,895,0.0015795811777934432,crane,517,0.0015526000643149018,pole,733,0.001539330929517746
9,parachute,701,0.6537052392959595,balloon,417,0.007547637447714806,valley,979,0.0014783716760575771,seashore,978,0.001229789573699236,swing,843,0.0010668026516214013
