case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,golf ball,574,0.44127514958381653,thimble,855,0.0018915816908702254,tennis ball,852,0.001549615291878581,matchstick,644,0.0011251178802922368,nail,677,0.0010609354358166456
1,golf ball,574,0.41491881012916565,thimble,855,0.0017899969825521111,tennis ball,852,0.0014138666447252035,parachute,701,0.0010672532953321934,baseball,429,0.00106328004039824
2,golf ball,574,0.4169563353061676,saltshaker,773,0.0016930648125708103,thimble,855,0.0016516264295205474,tennis ball,852,0.0012181258061900735,remote control,761,0.001057898160070181
3,golf ball,574,0.32935985922813416,goblet,572,0.004029893781989813,dugong,149,0.0014187153428792953,tennis ball,852,0.0014170536305755377,thimble,855,0.001313843415118754
4,golf ball,574,0.5448286533355713,honeycomb,599,0.001862834906205535,gibbon,368,0.0016743360320106149,leatherback turtle,34,0.0014533184003084898,thimble,855,0.0014086710289120674
5,golf ball,574,0.47784242033958435,thimble,855,0.0027666082605719566,tennis ball,852,0.0022105525713413954,ping-pong ball,722,0.0019782937597483397,soccer ball,805,0.0013582786777988076
6,golf ball,574,0.3897334933280945,honeycomb,599,0.002316813450306654,vase,883,0.0021256515756249428,matchstick,644,0.0015518087893724442,thimble,855,0.0015483348397538066
7,golf ball,574,0.37925586104393005,goblet,572,0.006337405648082495,honeycomb,599,0.0025336414109915495,microphone,650,0.0023809238336980343,red wine,966,0.00236577820032835
8,golf ball,574,0.3698684871196747,thimble,855,0.002052176045253873,tennis ball,852,0.0017231513047590852,ping-pong ball,722,0.00145080650690943,Shih-Tzu,155,0.0012548895319923759
9,golf ball,574,0.42438238859176636,honeycomb,599,0.0015615103766322136,goblet,572,0.001291467691771686,vase,883,0.0011661476455628872,Pekinese,154,0.001139296218752861
10,golf ball,574,0.5848846435546875,tennis ball,852,0.001248922199010849,thimble,855,0.001197610516101122,soccer ball,805,0.0010009149555116892,croquet ball,522,0.000841060362290591
11,golf ball,574,0.3413013815879822,ping-pong ball,722,0.002710740314796567,thimble,855,0.002648737747222185,tennis ball,852,0.0020838994532823563,wombat,106,0.0019487164681777358
12,golf ball,574,0.4358765780925751,thimble,855,0.002220375929027796,tennis ball,852,0.0015003198059275746,Shih-Tzu,155,0.0014896404463797808,brown bear,294,0.001317906309850514
13,golf ball,574,0.5066735744476318,wombat,106,0.0015164789510890841,tennis ball,852,0.0013688289327546954,Irish wolfhound,170,0.001173985656350851,polecat,358,0.0011022554244846106
14,golf ball,574,0.351299524307251,thimble,855,0.0021656458266079426,tennis ball,852,0.001655378146097064,dugong,149,0.0012344969436526299,jellyfish,107,0.0012124289060011506
15,golf ball,574,0.40522751212120056,thimble,855,0.004081576596945524,tennis ball,852,0.0019563348032534122,Bedlington terrier,181,0.001797252451069653,ping-pong ball,722,0.0017108191968873143
16,golf ball,574,0.4632992744445801,thimble,855,0.001932807150296867,hermit crab,125,0.0016207972075790167,tennis ball,852,0.0015855104429647326,leatherback turtle,34,0.0012271443847566843
17,golf ball,574,0.3839883506298065,thimble,855,0.0017363589722663164,tennis ball,852,0.0016003894852474332,dugong,149,0.0011493944330140948,soccer ball,805,0.0011198775609955192
18,golf ball,574,0.35850319266319275,tennis ball,852,0.0015652338042855263,thimble,855,0.001521817408502102,lycaenid,326,0.001402472611516714,matchstick,644,0.0013219142565503716
19,golf ball,574,0.41894835233688354,thimble,855,0.0022724189329892397,wombat,106,0.0018778422381728888,hamster,333,0.0017451129388064146,Irish wolfhound,170,0.0016767564229667187
