case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,chain saw,491,0.15176081657409668,stretcher,830,0.09426283091306686,knee pad,615,0.029792452231049538,assault rifle,413,0.02011706680059433,oxygen mask,691,0.020016051828861237
1,chain saw,491,0.28247466683387756,cowboy hat,515,0.013206756673753262,cowboy boot,514,0.004851390607655048,revolver,763,0.003517091739922762,moped,665,0.002928025322034955
2,chain saw,491,0.43470942974090576,American alligator,50,0.04572253301739693,assault rifle,413,0.016790470108389854,harvester,595,0.010356731712818146,rifle,764,0.007366758305579424
3,chain saw,491,0.2866172790527344,shovel,792,0.02691924385726452,gasmask,570,0.019804706797003746,lumbermill,634,0.018015233799815178,stone wall,825,0.017731189727783203
4,chain saw,491,0.5517887473106384,stretcher,830,0.006023107562214136,ambulance,407,0.001957912463694811,lumbermill,634,0.0017353133298456669,gasmask,570,0.0016775231342762709
5,chain saw,491,0.3361101448535919,mountain bike,671,0.015840981155633926,stretcher,830,0.008047934621572495,ski mask,796,0.0075240181758999825,assault rifle,413,0.005652163177728653
6,chain saw,491,0.3625139594078064,harvester,595,0.008040346205234528,mountain bike,671,0.007736175321042538,bow,456,0.006515898276120424,lumbermill,634,0.005793108604848385
7,chain saw,491,0.4413676857948303,stretcher,830,0.00772843835875392,paddle,693,0.004981344100087881,pole,733,0.004719823598861694,canoe,472,0.004584515001624823
8,chain saw,491,0.6609580516815186,tricycle,870,0.006768348161131144,mountain bike,671,0.0052325832657516,unicycle,880,0.005223663989454508,lawn mower,621,0.004446186125278473
9,chain saw,491,0.44006356596946716,mountain bike,671,0.023278094828128815,stretcher,830,0.022838091477751732,gasmask,570,0.011151938699185848,rock python,62,0.010613350197672844
10,chain saw,491,0.7346328496932983,mountain bike,671,0.024732541292905807,stretcher,830,0.014339038170874119,crash helmet,518,0.011852907948195934,bulletproof vest,465,0.009796514175832272
11,chain saw,491,0.1330471932888031,revolver,763,0.023282043635845184,cannon,471,0.018733061850070953,assault rifle,413,0.013626908883452415,stretcher,830,0.010944301262497902
12,chain saw,491,0.05915570259094238,tractor,866,0.046025168150663376,harvester,595,0.022162755951285362,plow,730,0.021131953224539757,power drill,740,0.011304995976388454
13,chain saw,491,0.46869879961013794,power drill,740,0.005359128583222628,lumbermill,634,0.0020282380282878876,shovel,792,0.0018419194966554642,apiary,410,0.0018411624478176236
14,chain saw,491,0.09889726340770721,rifle,764,0.043075211346149445,military uniform,652,0.028075408190488815,assault rifle,413,0.021383270621299744,stretcher,830,0.019767509773373604
15,chain saw,491,0.5882221460342407,plow,730,0.013801446184515953,lawn mower,621,0.011917630210518837,mountain bike,671,0.010406309738755226,cowboy hat,515,0.006639930885285139
16,chain saw,491,0.1276153028011322,power drill,740,0.004989176988601685,harvester,595,0.002680011559277773,lumbermill,634,0.0024233947042375803,swing,843,0.0023022224195301533
17,assault rifle,413,0.12439139187335968,chain saw,491,0.09953024238348007,rifle,764,0.036025624722242355,stretcher,830,0.019843105226755142,military uniform,652,0.017124123871326447
18,chain saw,491,0.35486099123954773,power drill,740,0.012455125339329243,stretcher,830,0.006358792074024677,vacuum,882,0.00420101685449481,European fire salamander,25,0.0031969149131327868
19,chain saw,491,0.291181355714798,crane,517,0.020705705508589745,harvester,595,0.010948119685053825,stretcher,830,0.008241930976510048,lumbermill,634,0.006418951321393251
20,chain saw,491,0.37904077768325806,stretcher,830,0.008270341902971268,mountain bike,671,0.0031744728330522776,lumbermill,634,0.003124372335150838,power drill,740,0.002580670639872551
21,chain saw,491,0.5167999267578125,lumbermill,634,0.004248222801834345,power drill,740,0.004199865274131298,gasmask,570,0.0023097165394574404,stretcher,830,0.002227613003924489
