case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,parachute,701,0.4061066806316376,Irish wolfhound,170,0.0012167320819571614,baseball,429,0.0011377405608072877,seashore,978,0.0011298247845843434,nematode,111,0.0011036433279514313
1,parachute,701,0.42118310928344727,balloon,417,0.0032437865156680346,umbrella,879,0.0015706884441897273,affenpinscher,252,0.0011842522071674466,ski,795,0.0011567930923774838
2,parachute,701,0.7184158563613892,valley,979,0.002921061357483268,alp,970,0.002395184012129903,cliff,972,0.0018213686998933554,ski,795,0.0010080203646793962
3,parachute,701,0.5591209530830383,ski,795,0.00158686435315758,flagpole,557,0.001562046236358583,umbrella,879,0.0011023359838873148,plastic bag,728,0.0010020934278145432
4,parachute,701,0.4509250819683075,swimming trunks,842,0.00273982179351151,Irish wolfhound,170,0.0018784835701808333,handkerchief,591,0.0015876052202656865,sock,806,0.0015088857617229223
5,parachute,701,0.3453768789768219,seashore,978,0.0017928213346749544,bib,443,0.001431143144145608,steel arch bridge,821,0.001405902556143701,coral reef,973,0.0012007540790364146
6,parachute,701,0.5001363754272461,flagpole,557,0.0022385234478861094,balloon,417,0.0018142627086490393,Band Aid,419,0.00160340522415936,seashore,978,0.0011964546283707023
7,parachute,701,0.5720548033714294,ski,795,0.0017265802016481757,balloon,417,0.0012074540136381984,flagpole,557,0.0011601129081100225,diaper,529,0.0010190992616117
8,parachute,701,0.6152289509773254,balloon,417,0.008433718234300613,swab,840,0.002708550076931715,mountain bike,671,0.0026616593822836876,nematode,111,0.002314560580998659
9,parachute,701,0.5057596564292908,balloon,417,0.006402804050594568,seashore,978,0.0017629570793360472,hamster,333,0.0012146950466558337,anemone fish,393,0.001061854069121182
10,parachute,701,0.6245619058609009,hook,600,0.0030599869787693024,crane,517,0.002352404175326228,wing,908,0.0022383821196854115,lifeboat,625,0.002016414888203144
11,parachute,701,0.5794122219085693,balloon,417,0.0034866067580878735,sulphur butterfly,325,0.0029299587476998568,ski,795,0.001761496881954372,umbrella,879,0.0012790540931746364
12,parachute,701,0.5660079717636108,balloon,417,0.0029071143362671137,airship,405,0.0016795347910374403,seashore,978,0.0011657148133963346,affenpinscher,252,0.001109277829527855
13,parachute,701,0.4213583767414093,knot,616,0.002777259796857834,seashore,978,0.00200193771161139,coral reef,973,0.001971133518964052,macaw,88,0.0019634622149169445
14,parachute,701,0.27215421199798584,balloon,417,0.0159054696559906,seashore,978,0.0023588037583976984,hip,989,0.002031769137829542,sulphur butterfly,325,0.0018464322201907635
15,parachute,701,0.4162144660949707,nematode,111,0.0028653289191424847,balloon,417,0.0026851638685911894,seashore,978,0.0019882507622241974,corn,987,0.0016381394816562533
16,parachute,701,0.5577003359794617,balloon,417,0.008159530349075794,flagpole,557,0.0034358883276581764,valley,979,0.002361157676205039,wing,908,0.0020154069643467665
