case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,tench,0,0.3113078474998474,barracouta,389,0.0025891035329550505,lakeside,975,0.002325281500816345,coho,391,0.0021078733261674643,boathouse,449,0.0019312334479764104
1,tench,0,0.37618839740753174,coho,391,0.0045526959002017975,barracouta,389,0.0024723135866224766,platypus,103,0.0014747569803148508,sturgeon,394,0.00116602866910398
2,tench,0,0.35007548332214355,barracouta,389,0.002625478431582451,platypus,103,0.0018685529939830303,sea cucumber,329,0.0015785745345056057,Komodo dragon,48,0.0011324221268296242
3,tench,0,0.5742606520652771,coho,391,0.001868641935288906,impala,352,0.0017558461986482143,barracouta,389,0.0015862166183069348,hartebeest,351,0.0013455607695505023
4,tench,0,0.34078770875930786,barracouta,389,0.003829413093626499,coho,391,0.002018383936956525,axolotl,29,0.0014130935305729508,dough,961,0.0013544425601139665
5,tench,0,0.34545037150382996,barracouta,389,0.004616450984030962,pickelhaube,715,0.0026401570066809654,knee pad,615,0.002610164927318692,coho,391,0.0025368735659867525
6,tench,0,0.45809218287467957,barracouta,389,0.004187804646790028,mushroom,947,0.002394244773313403,pickelhaube,715,0.0017637042328715324,carton,478,0.0016677756793797016
7,tench,0,0.5765367150306702,barracouta,389,0.006244421470910311,jackfruit,955,0.0013252176577225327,coho,391,0.0012031650403514504,sea cucumber,329,0.0009753949707373977
8,tench,0,0.44702041149139404,coho,391,0.007383852731436491,barracouta,389,0.006670983973890543,sturgeon,394,0.0018523302860558033,boathouse,449,0.0018444991437718272
9,tench,0,0.6270498633384705,barracouta,389,0.026928173378109932,coho,391,0.0030701705254614353,sturgeon,394,0.002925721462816,gar,395,0.0018997658044099808
10,tench,0,0.5793656706809998,lakeside,975,0.0032653403468430042,barracouta,389,0.0017744554206728935,boathouse,449,0.0015545232454314828,dam,525,0.0012808479368686676
11,tench,0,0.5717042088508606,barracouta,389,0.0019248772878199816,coho,391,0.001026697689667344,axolotl,29,0.0009353146306239069,pickelhaube,715,0.0009279142832383513
12,tench,0,0.4187149703502655,barracouta,389,0.00761981587857008,pickelhaube,715,0.001753712771460414,snowplow,803,0.001588252023793757,Bernese mountain dog,239,0.00156112527474761
13,tench,0,0.45244425535202026,barracouta,389,0.0045787263661623,coho,391,0.0021596220321953297,flatworm,110,0.0019341325387358665,ski mask,796,0.0014130719937384129
14,tench,0,0.5382109880447388,coho,391,0.004845308139920235,barracouta,389,0.0029141129925847054,lakeside,975,0.002200657268986106,boathouse,449,0.0015843636356294155
15,tench,0,0.5696371793746948,barracouta,389,0.005525955930352211,sea cucumber,329,0.002024022862315178,sturgeon,394,0.0019389181397855282,coho,391,0.0018194684525951743
16,tench,0,0.4758703410625458,barracouta,389,0.003525783773511648,warthog,343,0.0016281772404909134,hippopotamus,344,0.0014750710688531399,hyena,276,0.001340746763162315
17,tench,0,0.4512980580329895,coho,391,0.015622575767338276,barracouta,389,0.010059868916869164,eel,390,0.0036280318163335323,sturgeon,394,0.0027583702467381954
18,tench,0,0.5644150376319885,barracouta,389,0.001817577751353383,pickelhaube,715,0.001064951065927744,axolotl,29,0.0009217776241712272,platypus,103,0.0008764740778133273
19,tench,0,0.51142817735672,barracouta,389,0.004831016529351473,coho,391,0.0032086598221212626,sturgeon,394,0.0018608120735734701,hippopotamus,344,0.0016107141273096204
20,tench,0,0.4687674343585968,barracouta,389,0.007058217190206051,slug,114,0.003831706242635846,coho,391,0.0033981644082814455,sturgeon,394,0.0016749488422647119
21,tench,0,0.5064241886138916,barracouta,389,0.02002989500761032,sturgeon,394,0.0035734958946704865,coho,391,0.0024565409403294325,gar,395,0.002389240311458707
22,tench,0,0.5579867959022522,barracouta,389,0.007172670681029558,coho,391,0.004554572515189648,sturgeon,394,0.0017589825438335538,gar,395,0.0016036146553233266
23,tench,0,0.536124050617218,barracouta,389,0.012117769569158554,hartebeest,351,0.0022847275249660015,coho,391,0.0018964560003951192,sturgeon,394,0.0014898172812536359
24,tench,0,0.39378875494003296,coho,391,0.004652753937989473,barracouta,389,0.0034231157042086124,sturgeon,394,0.0016829330706968904,axolotl,29,0.0015872691292315722
25,tench,0,0.5012903809547424,barracouta,389,0.0031914939172565937,coho,391,0.002335087163373828,gar,395,0.0017572679789736867,slug,114,0.0011246155481785536
26,tench,0,0.5709226131439209,barracouta,389,0.0029296919237822294,lakeside,975,0.0014690561220049858,platypus,103,0.0011452854378148913,isopod,126,0.0009867545450106263
27,tench,0,0.47404390573501587,barracouta,389,0.0024777615908533335,coho,391,0.002425703452900052,sandbar,977,0.001704614027403295,lakeside,975,0.001642390270717442
28,tench,0,0.45647192001342773,barracouta,389,0.0036871754564344883,coho,391,0.0028783967718482018,sturgeon,394,0.0015322122490033507,lakeside,975,0.001252910471521318
29,tench,0,0.3661406636238098,barracouta,389,0.0040657902136445045,lakeside,975,0.0025653119664639235,coho,391,0.002457287162542343,tusker,101,0.0019776036497205496
30,tench,0,0.07915592193603516,coho,391,0.05013782158493996,sturgeon,394,0.004362866282463074,barracouta,389,0.0041517456993460655,Dungeness crab,118,0.00322052207775414
31,tench,0,0.47789493203163147,coho,391,0.011926094070076942,barracouta,389,0.0084406528621912,sturgeon,394,0.0024233469739556313,gar,395,0.0019328679190948606
32,tench,0,0.39177727699279785,barracouta,389,0.007379078306257725,coho,391,0.0032054008916020393,sturgeon,394,0.0025904218200594187,eel,390,0.0016102405497804284
33,tench,0,0.5376757383346558,barracouta,389,0.007647398859262466,gar,395,0.0025560292415320873,coho,391,0.0020433191675692797,sturgeon,394,0.0018887436017394066
34,tench,0,0.4704385995864868,coho,391,0.01230903435498476,barracouta,389,0.005962574854493141,sturgeon,394,0.0025036814622581005,gar,395,0.002033894881606102
