case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,garbage truck,569,0.27218765020370483,trailer truck,867,0.12150420993566513,moving van,675,0.010910728015005589,tow truck,864,0.005330075044184923,forklift,561,0.004819856025278568
1,garbage truck,569,0.3144419491291046,trailer truck,867,0.010713414289057255,snowplow,803,0.00991327129304409,freight car,565,0.009219709783792496,tow truck,864,0.007068992126733065
2,garbage truck,569,0.522357165813446,trailer truck,867,0.015688734129071236,thresher,856,0.007253995630890131,snowplow,803,0.003588117891922593,tow truck,864,0.0028906813822686672
3,garbage truck,569,0.2968183159828186,trailer truck,867,0.076810821890831,moving van,675,0.059919387102127075,crane,517,0.013503924943506718,tow truck,864,0.009556530974805355
4,garbage truck,569,0.2705824077129364,trailer truck,867,0.03305001184344292,tow truck,864,0.019929660484194756,snowplow,803,0.01347486861050129,mobile home,660,0.008009037002921104
5,garbage truck,569,0.4301198124885559,tow truck,864,0.003653391730040312,trailer truck,867,0.0035502181854099035,snowplow,803,0.002762267831712961,crane,517,0.002336455276235938
6,garbage truck,569,0.342191606760025,trailer truck,867,0.07800361514091492,snowplow,803,0.008009441196918488,moving van,675,0.006406187079846859,forklift,561,0.0038578640669584274
7,garbage truck,569,0.2942228317260742,trailer truck,867,0.17434312403202057,tow truck,864,0.012902102433145046,moving van,675,0.010302826762199402,snowplow,803,0.006905992515385151
8,garbage truck,569,0.2886697053909302,tow truck,864,0.06790602952241898,trailer truck,867,0.037059612572193146,snowplow,803,0.012104983441531658,fire engine,555,0.006902933586388826
9,garbage truck,569,0.6206986308097839,trailer truck,867,0.007382135838270187,snowplow,803,0.006700524594634771,crane,517,0.001385469688102603,tow truck,864,0.001315697911195457
10,garbage truck,569,0.2616928219795227,fire engine,555,0.02801760472357273,trailer truck,867,0.013421195559203625,snowplow,803,0.0132389971986413,tow truck,864,0.012860276736319065
11,garbage truck,569,0.2015955001115799,trailer truck,867,0.16865450143814087,snowplow,803,0.04907994717359543,moving van,675,0.031591761857271194,tow truck,864,0.011048496700823307
12,garbage truck,569,0.16249847412109375,trailer truck,867,0.13858510553836823,snowplow,803,0.0438249297440052,tow truck,864,0.022118978202342987,crane,517,0.017073245719075203
13,garbage truck,569,0.352677583694458,snowplow,803,0.023566966876387596,trailer truck,867,0.01180048193782568,moving van,675,0.0023088466841727495,mobile home,660,0.002112936694175005
14,garbage truck,569,0.47567275166511536,trailer truck,867,0.036617524921894073,moving van,675,0.006206498481333256,tow truck,864,0.0054699028842151165,snowplow,803,0.0033581240568310022
15,garbage truck,569,0.30312007665634155,trailer truck,867,0.10343533009290695,moving van,675,0.03641610965132713,tow truck,864,0.013576854951679707,snowplow,803,0.009054266847670078
16,garbage truck,569,0.2566656172275543,trailer truck,867,0.11635757237672806,moving van,675,0.018501732498407364,crane,517,0.011191101744771004,snowplow,803,0.005767821799963713
17,garbage truck,569,0.6514139771461487,trailer truck,867,0.04093417897820473,snowplow,803,0.02328876405954361,forklift,561,0.00895461905747652,tow truck,864,0.007564147934317589
18,garbage truck,569,0.396165132522583,trailer truck,867,0.003769919043406844,snowplow,803,0.002849664306268096,tow truck,864,0.00246417336165905,crane,517,0.0016644778661429882
19,garbage truck,569,0.4003255367279053,trailer truck,867,0.04099460318684578,moving van,675,0.022007357329130173,tow truck,864,0.016467437148094177,snowplow,803,0.012893756851553917
20,garbage truck,569,0.3971729576587677,trailer truck,867,0.008803225122392178,snowplow,803,0.005516562145203352,tow truck,864,0.0027127028442919254,mobile home,660,0.002299228450283408
21,garbage truck,569,0.3991267681121826,trailer truck,867,0.03855440393090248,snowplow,803,0.03215586021542549,tow truck,864,0.01394105888903141,moving van,675,0.009789922274649143
22,garbage truck,569,0.4270350933074951,trailer truck,867,0.013431319035589695,moving van,675,0.009186191484332085,tow truck,864,0.005452857818454504,snowplow,803,0.005342680029571056
23,garbage truck,569,0.29374945163726807,trailer truck,867,0.017877614125609398,moving van,675,0.0060068657621741295,tow truck,864,0.002353865886107087,crane,517,0.0021076637785881758
24,garbage truck,569,0.2303513139486313,trailer truck,867,0.08958745747804642,snowplow,803,0.016124073415994644,moving van,675,0.007871538400650024,crane,517,0.007193297613412142
25,garbage truck,569,0.4431922435760498,trailer truck,867,0.005901122931391001,crane,517,0.003975550178438425,tow truck,864,0.0028556939214468002,moving van,675,0.002456885064020753
26,garbage truck,569,0.4637203812599182,trailer truck,867,0.03216568008065224,thresher,856,0.004887665621936321,freight car,565,0.003627041820436716,moving van,675,0.0036107483319938183
27,garbage truck,569,0.3516559302806854,tow truck,864,0.027933096513152122,snowplow,803,0.023112446069717407,trailer truck,867,0.015336223877966404,crane,517,0.015225161798298359
28,garbage truck,569,0.37440845370292664,trailer truck,867,0.027393240481615067,moving van,675,0.008302293717861176,snowplow,803,0.008095604367554188,tow truck,864,0.0032280548475682735
29,garbage truck,569,0.38529130816459656,trailer truck,867,0.04199044778943062,moving van,675,0.012797769159078598,mobile home,660,0.006563116796314716,recreational vehicle,757,0.0025362344458699226
30,garbage truck,569,0.33679553866386414,trailer truck,867,0.013410110026597977,snowplow,803,0.010805950500071049,tow truck,864,0.006601299159228802,moving van,675,0.002291687298566103
31,garbage truck,569,0.30342262983322144,trailer truck,867,0.06873871386051178,tow truck,864,0.0210763867944479,recreational vehicle,757,0.014387772418558598,mobile home,660,0.01347654964774847
32,garbage truck,569,0.42447009682655334,snowplow,803,0.020985601469874382,trailer truck,867,0.014786486513912678,tow truck,864,0.011088203638792038,crane,517,0.00990871898829937
33,garbage truck,569,0.3539521396160126,trailer truck,867,0.029960861429572105,tow truck,864,0.01471518725156784,snowplow,803,0.009606856852769852,crane,517,0.004108419641852379
34,garbage truck,569,0.40642863512039185,fire engine,555,0.04131948575377464,trailer truck,867,0.016579503193497658,moving van,675,0.015135586261749268,tow truck,864,0.012602373957633972
35,garbage truck,569,0.47197356820106506,snowplow,803,0.048019420355558395,trailer truck,867,0.010186533443629742,tow truck,864,0.002855302533134818,crane,517,0.0019829850643873215
36,garbage truck,569,0.4343228042125702,ashcan,412,0.005521412938833237,freight car,565,0.005288584623485804,moving van,675,0.004335381556302309,trailer truck,867,0.0041170925833284855
37,garbage truck,569,0.42596885561943054,trailer truck,867,0.003578625386580825,snowplow,803,0.002661773469299078,moving van,675,0.0023057586513459682,tow truck,864,0.0015498455613851547
38,garbage truck,569,0.4605659246444702,tow truck,864,0.01496188249439001,crane,517,0.0022790764924138784,snowplow,803,0.0022063974756747484,trailer truck,867,0.0021816750522702932
39,garbage truck,569,0.3934520483016968,thresher,856,0.017582476139068604,snowplow,803,0.007104053627699614,trailer truck,867,0.0028049354441463947,hamster,333,0.0020412334706634283
40,garbage truck,569,0.33088353276252747,trailer truck,867,0.026827488094568253,tow truck,864,0.008157159201800823,moving van,675,0.007112590130418539,crane,517,0.0030920396093279123
41,garbage truck,569,0.3281521499156952,trailer truck,867,0.02177206054329872,snowplow,803,0.021102435886859894,tow truck,864,0.0038394518196582794,crane,517,0.0038115137722343206
42,garbage truck,569,0.5461972951889038,trailer truck,867,0.018550066277384758,moving van,675,0.0051676263101398945,police van,734,0.004355276469141245,tow truck,864,0.003955049440264702
43,garbage truck,569,0.201850026845932,trailer truck,867,0.07047303766012192,moving van,675,0.010211563669145107,tow truck,864,0.004786359146237373,crane,517,0.0037958482280373573
44,garbage truck,569,0.38273245096206665,trailer truck,867,0.013365982100367546,tow truck,864,0.009448087774217129,snowplow,803,0.005873281043022871,crane,517,0.0023712576366961002
45,garbage truck,569,0.3504314422607422,snowplow,803,0.002998559270054102,trailer truck,867,0.0026132743805646896,moving van,675,0.001601278898306191,Boston bull,195,0.0015360780525952578
46,garbage truck,569,0.43666619062423706,snowplow,803,0.011347281746566296,trailer truck,867,0.010408172383904457,tow truck,864,0.009336445480585098,crane,517,0.002930374350398779
47,garbage truck,569,0.46316400170326233,trailer truck,867,0.038890037685632706,moving van,675,0.00716764060780406,tow truck,864,0.004682233557105064,snowplow,803,0.003289369400590658
48,garbage truck,569,0.18041664361953735,trailer truck,867,0.08396600186824799,snowplow,803,0.019124912098050117,tow truck,864,0.012901153415441513,moving van,675,0.009984209202229977
49,garbage truck,569,0.635892927646637,trailer truck,867,0.02883145958185196,snowplow,803,0.006259591318666935,moving van,675,0.0033889473415911198,crane,517,0.0014461589744314551
50,garbage truck,569,0.15010561048984528,moving van,675,0.05565774813294411,trailer truck,867,0.04631621390581131,tow truck,864,0.01659351773560047,fire engine,555,0.006938435137271881
51,garbage truck,569,0.35550034046173096,trailer truck,867,0.016092700883746147,snowplow,803,0.011448054574429989,moving van,675,0.0057178884744644165,tow truck,864,0.0023509643506258726
52,garbage truck,569,0.20998015999794006,fire engine,555,0.02326061762869358,tow truck,864,0.011625614948570728,trailer truck,867,0.010453207418322563,snowplow,803,0.0038615106604993343
53,garbage truck,569,0.2469460815191269,trailer truck,867,0.07949026674032211,moving van,675,0.011124629527330399,forklift,561,0.006833236664533615,tow truck,864,0.006255198270082474
54,garbage truck,569,0.28966233134269714,trailer truck,867,0.06266652047634125,tow truck,864,0.017208904027938843,snowplow,803,0.015661807730793953,fire engine,555,0.007124813739210367
55,garbage truck,569,0.36634382605552673,trailer truck,867,0.012513184919953346,snowplow,803,0.008616222068667412,moving van,675,0.0039543267339468,crane,517,0.003123596077784896
56,garbage truck,569,0.306386262178421,trailer truck,867,0.04284490644931793,snowplow,803,0.03638254851102829,moving van,675,0.006675783544778824,freight car,565,0.00497187115252018
57,garbage truck,569,0.30657345056533813,trailer truck,867,0.1288861334323883,moving van,675,0.014945008791983128,snowplow,803,0.007934259250760078,freight car,565,0.007238596212118864
58,garbage truck,569,0.5503225922584534,trailer truck,867,0.035712309181690216,moving van,675,0.011036938987672329,snowplow,803,0.009905343875288963,mobile home,660,0.007566001266241074
59,garbage truck,569,0.20184718072414398,trailer truck,867,0.18380656838417053,tow truck,864,0.05225124582648277,snowplow,803,0.015392983332276344,moving van,675,0.011112101376056671
60,garbage truck,569,0.2624514698982239,trailer truck,867,0.051059648394584656,snowplow,803,0.026725661009550095,moving van,675,0.008045586757361889,tow truck,864,0.004793114028871059
61,garbage truck,569,0.4461275041103363,trailer truck,867,0.02231168933212757,snowplow,803,0.01616370677947998,crane,517,0.012483912520110607,tow truck,864,0.0083385668694973
62,garbage truck,569,0.46068820357322693,snowplow,803,0.009392481297254562,trailer truck,867,0.007673513609915972,moving van,675,0.004435884766280651,mobile home,660,0.002043328480795026
63,garbage truck,569,0.5288698673248291,trailer truck,867,0.03534206375479698,tow truck,864,0.007963383570313454,snowplow,803,0.005723599810153246,forklift,561,0.005649189464747906
64,garbage truck,569,0.31051427125930786,trailer truck,867,0.06085978448390961,snowplow,803,0.01860804297029972,mobile home,660,0.0056222425773739815,tow truck,864,0.0054825046099722385
65,trailer truck,867,0.11150961369276047,garbage truck,569,0.0764789879322052,moving van,675,0.03861914202570915,tow truck,864,0.00488911522552371,crane,517,0.003423151792958379
