case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,gas pump,571,0.24409160017967224,cash machine,480,0.10052012652158737,vending machine,886,0.0334349162876606,mailbox,637,0.010959942825138569,pay-phone,707,0.008972704410552979
1,gas pump,571,0.19078779220581055,parking meter,704,0.10275924205780029,cash machine,480,0.0767478495836258,pay-phone,707,0.027012361213564873,vending machine,886,0.024593885987997055
2,gas pump,571,0.33925360441207886,pay-phone,707,0.09436081349849701,cash machine,480,0.008200430311262608,vending machine,886,0.006632293574512005,pole,733,0.005045815836638212
3,pay-phone,707,0.11351346969604492,cash machine,480,0.06954995542764664,gas pump,571,0.02487281523644924,dial telephone,528,0.005918232258409262,mailbox,637,0.0038937153294682503
4,gas pump,571,0.21124789118766785,cash machine,480,0.07770001143217087,vending machine,886,0.050271227955818176,pay-phone,707,0.03264020383358002,mailbox,637,0.009525182656943798
5,gas pump,571,0.23157642781734467,vending machine,886,0.054053328931331635,pay-phone,707,0.043223898857831955,parking meter,704,0.013075807131826878,cash machine,480,0.011935744434595108
6,gas pump,571,0.2506885230541229,cash machine,480,0.15490303933620453,pay-phone,707,0.01634969934821129,vending machine,886,0.013864441774785519,mailbox,637,0.0054300883784890175
7,gas pump,571,0.5359919667243958,vending machine,886,0.004973475355654955,cash machine,480,0.004803828429430723,pay-phone,707,0.003558579832315445,mailbox,637,0.0018887213664129376
8,cash machine,480,0.09073860198259354,vending machine,886,0.05632414296269417,gas pump,571,0.050132814794778824,parking meter,704,0.018849877640604973,trolleybus,874,0.016264811158180237
9,gas pump,571,0.5464140176773071,pay-phone,707,0.04361385107040405,parking meter,704,0.01813351921737194,ashcan,412,0.009937230497598648,cash machine,480,0.009843925014138222
10,gas pump,571,0.22008757293224335,cash machine,480,0.09574990719556808,pay-phone,707,0.05640093609690666,vending machine,886,0.02004161849617958,mailbox,637,0.013192469254136086
11,gas pump,571,0.47210797667503357,cash machine,480,0.003455766476690769,pay-phone,707,0.0017888435395434499,vending machine,886,0.001565435086376965,fireboat,554,0.0013280234998092055
12,gas pump,571,0.2316013127565384,vending machine,886,0.05363115668296814,cash machine,480,0.019703738391399384,parking meter,704,0.006283867638558149,mailbox,637,0.005283556412905455
13,gas pump,571,0.24463817477226257,pay-phone,707,0.05099516734480858,cash machine,480,0.037881482392549515,vending machine,886,0.004189716186374426,streetcar,829,0.0037241692189127207
14,cash machine,480,0.20063409209251404,gas pump,571,0.11936713010072708,pay-phone,707,0.02264564111828804,mailbox,637,0.006980632431805134,vending machine,886,0.00561101408675313
15,vending machine,886,0.32323211431503296,gas pump,571,0.07248087227344513,cash machine,480,0.031045183539390564,pay-phone,707,0.018159132450819016,parking meter,704,0.014653729274868965
16,gas pump,571,0.26235634088516235,cash machine,480,0.1894998401403427,pay-phone,707,0.009790821000933647,vending machine,886,0.005043582525104284,refrigerator,760,0.0021471844520419836
17,pay-phone,707,0.07647934556007385,parking meter,704,0.07170780748128891,cash machine,480,0.06516935676336288,gas pump,571,0.05101509764790535,vending machine,886,0.04729822650551796
18,cash machine,480,0.31122714281082153,gas pump,571,0.06556876003742218,vending machine,886,0.03937236964702606,pay-phone,707,0.022778963670134544,parking meter,704,0.006254291627556086
19,cash machine,480,0.5270799994468689,gas pump,571,0.03988038748502731,vending machine,886,0.015646548941731453,pay-phone,707,0.00948988739401102,slot,800,0.002494602696970105
20,pay-phone,707,0.08660579472780228,vending machine,886,0.05262390896677971,cash machine,480,0.04686928912997246,gas pump,571,0.04436544328927994,parking meter,704,0.033777959644794464
21,pay-phone,707,0.16216221451759338,cash machine,480,0.11649053543806076,gas pump,571,0.06681954860687256,vending machine,886,0.04488489404320717,parking meter,704,0.007222040090709925
22,cash machine,480,0.10838636755943298,pay-phone,707,0.06929569691419601,parking meter,704,0.05911244824528694,vending machine,886,0.0495603010058403,ashcan,412,0.013669309206306934
23,gas pump,571,0.2858395278453827,cash machine,480,0.07337375730276108,pay-phone,707,0.01329105719923973,vending machine,886,0.005643808748573065,parking meter,704,0.0032073119655251503
24,gas pump,571,0.35294029116630554,cash machine,480,0.033042460680007935,vending machine,886,0.017572319135069847,pay-phone,707,0.009300447069108486,mailbox,637,0.006118498742580414
25,gas pump,571,0.2974725365638733,parking meter,704,0.096198171377182,cash machine,480,0.055653542280197144,pay-phone,707,0.029541101306676865,vending machine,886,0.008766050450503826
26,gas pump,571,0.3274695873260498,cash machine,480,0.0190386101603508,pay-phone,707,0.010062409564852715,vending machine,886,0.007933259010314941,mailbox,637,0.007306969724595547
27,gas pump,571,0.12313051521778107,cash machine,480,0.0958239808678627,vending machine,886,0.04842805862426758,pay-phone,707,0.02519691362977028,mailbox,637,0.020751500502228737
28,gas pump,571,0.45538148283958435,cash machine,480,0.011524932458996773,pay-phone,707,0.009061568416655064,mailbox,637,0.003350138897076249,vending machine,886,0.0024284948594868183
29,gas pump,571,0.31076040863990784,cash machine,480,0.05047062411904335,vending machine,886,0.03792717307806015,pay-phone,707,0.025711415335536003,mailbox,637,0.008462294936180115
30,gas pump,571,0.2995027005672455,cash machine,480,0.0848761722445488,vending machine,886,0.02120037190616131,pay-phone,707,0.011600635945796967,parking meter,704,0.005991877522319555
31,gas pump,571,0.320809930562973,pay-phone,707,0.06354745477437973,cash machine,480,0.045567918568849564,vending machine,886,0.012762987054884434,mailbox,637,0.005448941607028246
32,gas pump,571,0.12848810851573944,cash machine,480,0.06892841309309006,pay-phone,707,0.043921202421188354,vending machine,886,0.03874496743083,mailbox,637,0.02322472259402275
33,gas pump,571,0.3542740046977997,pay-phone,707,0.05987957492470741,cash machine,480,0.020499082282185555,turnstile,877,0.015012117102742195,mailbox,637,0.00844902079552412
34,gas pump,571,0.42477113008499146,pay-phone,707,0.03011721931397915,cash machine,480,0.007955173961818218,vending machine,886,0.005030990578234196,dial telephone,528,0.0026863878592848778
35,gas pump,571,0.11801882088184357,pay-phone,707,0.09608776867389679,vending machine,886,0.05219433084130287,cash machine,480,0.04977349936962128,parking meter,704,0.042552608996629715
36,cash machine,480,0.09627983719110489,pay-phone,707,0.09622329473495483,gas pump,571,0.07823029160499573,vending machine,886,0.02674073353409767,parking meter,704,0.0058752684853971004
37,gas pump,571,0.28685465455055237,cash machine,480,0.024421710520982742,vending machine,886,0.016632355749607086,pay-phone,707,0.009192327037453651,parking meter,704,0.0029266371857374907
38,cash machine,480,0.3134869933128357,gas pump,571,0.04322417080402374,pay-phone,707,0.03660735860466957,vending machine,886,0.012305534444749355,dial telephone,528,0.002313295379281044
39,pay-phone,707,0.09233182668685913,gas pump,571,0.07321089506149292,cash machine,480,0.0678347498178482,turnstile,877,0.02401958778500557,parking meter,704,0.019594231620430946
40,cash machine,480,0.34027063846588135,gas pump,571,0.055216625332832336,pay-phone,707,0.051664065569639206,parking meter,704,0.015484677627682686,refrigerator,760,0.01505273301154375
41,gas pump,571,0.16558443009853363,pay-phone,707,0.07789549231529236,cash machine,480,0.02848834916949272,vending machine,886,0.01852237991988659,parking meter,704,0.00943690724670887
42,gas pump,571,0.2559445798397064,cash machine,480,0.07507295161485672,vending machine,886,0.03187926486134529,pay-phone,707,0.017846575006842613,parking meter,704,0.007575711701065302
43,gas pump,571,0.4023907482624054,pay-phone,707,0.0658043920993805,dial telephone,528,0.008357825689017773,cash machine,480,0.004599932115525007,streetcar,829,0.004261302761733532
44,cash machine,480,0.17014461755752563,gas pump,571,0.1030571311712265,pay-phone,707,0.016902143135666847,vending machine,886,0.0160587877035141,parking meter,704,0.014597330242395401
45,gas pump,571,0.11509550362825394,cash machine,480,0.10319677740335464,pay-phone,707,0.08185771107673645,vending machine,886,0.03243931382894516,parking meter,704,0.027065478265285492
46,gas pump,571,0.4410856366157532,parking meter,704,0.011726664379239082,cash machine,480,0.011078324168920517,pay-phone,707,0.00680557219311595,mailbox,637,0.004455416463315487
47,gas pump,571,0.2838808000087738,cash machine,480,0.08222679048776627,vending machine,886,0.04714912548661232,pay-phone,707,0.011412106454372406,mailbox,637,0.005913478787988424
48,cash machine,480,0.08818097412586212,gas pump,571,0.05800227075815201,pay-phone,707,0.05498524382710457,parking meter,704,0.034938912838697433,vending machine,886,0.007753180805593729
49,gas pump,571,0.4061874449253082,cash machine,480,0.019970258697867393,pay-phone,707,0.014635588973760605,parking meter,704,0.01088237576186657,vending machine,886,0.008270539343357086
50,gas pump,571,0.4958644211292267,cash machine,480,0.042915575206279755,vending machine,886,0.007391251157969236,pay-phone,707,0.0034837680868804455,mailbox,637,0.0026874379254877567
51,gas pump,571,0.235788956284523,pay-phone,707,0.02902166172862053,vending machine,886,0.018061889335513115,cash machine,480,0.011068182066082954,mailbox,637,0.004015907179564238
52,gas pump,571,0.17878186702728271,cash machine,480,0.051267705857753754,vending machine,886,0.048937246203422546,pay-phone,707,0.025647349655628204,mailbox,637,0.02142275683581829
53,gas pump,571,0.20640575885772705,cash machine,480,0.1655043214559555,vending machine,886,0.01380936149507761,mailbox,637,0.008378427475690842,pay-phone,707,0.006630622316151857
54,gas pump,571,0.44027820229530334,ashcan,412,0.019136710092425346,mailbox,637,0.010770154185593128,cash machine,480,0.005427964497357607,pay-phone,707,0.004381753969937563
