case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,radio,754,0.19122284650802612,CD player,485,0.0719333291053772,tape player,848,0.06793207675218582,cassette player,482,0.05547194182872772,cassette,481,0.0186174176633358
1,tape player,848,0.3311784863471985,cassette player,482,0.16123411059379578,CD player,485,0.05060894787311554,cassette,481,0.01848010905086994,mailbox,637,0.016337094828486443
2,tape player,848,0.22722508013248444,cassette player,482,0.17744223773479462,CD player,485,0.07725832611322403,cassette,481,0.028481416404247284,radio,754,0.018728164955973625
3,tape player,848,0.1676671802997589,cassette player,482,0.15546520054340363,cassette,481,0.067054882645607,CD player,485,0.05661604553461075,radio,754,0.026042230427265167
4,tape player,848,0.2762370705604553,cassette player,482,0.152976393699646,cassette,481,0.05019453540444374,CD player,485,0.0358753576874733,radio,754,0.01973978616297245
5,cassette player,482,0.14403635263442993,tape player,848,0.12601147592067719,cassette,481,0.11577046662569046,radio,754,0.06266509741544724,CD player,485,0.060763340443372726
6,tape player,848,0.2894458472728729,cassette player,482,0.15967105329036713,cassette,481,0.06754455715417862,CD player,485,0.021782394498586655,radio,754,0.01197616197168827
7,tape player,848,0.21318121254444122,cassette player,482,0.15050898492336273,cassette,481,0.11139222234487534,CD player,485,0.02027956023812294,radio,754,0.017463844269514084
8,tape player,848,0.1627403050661087,cassette player,482,0.13269922137260437,CD player,485,0.12545883655548096,radio,754,0.06635746359825134,cassette,481,0.009213139303028584
9,tape player,848,0.2207927703857422,cassette player,482,0.15342916548252106,CD player,485,0.05308966338634491,cassette,481,0.04784724488854408,radio,754,0.017943620681762695
10,tape player,848,0.22863899171352386,cassette player,482,0.15605004131793976,cassette,481,0.0844518169760704,CD player,485,0.021572407335042953,radio,754,0.012281852774322033
11,tape player,848,0.1143442913889885,CD player,485,0.09560681134462357,radio,754,0.09061320126056671,cassette player,482,0.06557679176330566,cassette,481,0.02336006984114647
