case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,vault,884,0.2651132643222809,altar,406,0.11391939967870712,church,497,0.06071469560265541,organ,687,0.029405999928712845,monastery,663,0.02213110402226448
1,altar,406,0.13234367966651917,church,497,0.11803799867630005,vault,884,0.10678819566965103,organ,687,0.08218114823102951,monastery,663,0.01180755440145731
2,church,497,0.481946736574173,bell cote,442,0.03950946778059006,monastery,663,0.02046871930360794,vault,884,0.004604828543961048,tile roof,858,0.0038189804181456566
3,vault,884,0.26317963004112244,altar,406,0.13192227482795715,church,497,0.07425311952829361,organ,687,0.016533413901925087,monastery,663,0.00923837535083294
4,vault,884,0.22251653671264648,altar,406,0.18331345915794373,church,497,0.17590072751045227,organ,687,0.0424453467130661,monastery,663,0.009405715391039848
5,vault,884,0.3047371506690979,church,497,0.06572587043046951,altar,406,0.05370480939745903,monastery,663,0.014758403412997723,organ,687,0.011598622426390648
6,church,497,0.444693386554718,bell cote,442,0.02832218073308468,monastery,663,0.013245726935565472,dome,538,0.0032921514939516783,vault,884,0.0031312741339206696
7,church,497,0.333743691444397,bell cote,442,0.10334855318069458,monastery,663,0.023590020835399628,vault,884,0.005816835910081863,carton,478,0.002062551211565733
8,church,497,0.43325522541999817,bell cote,442,0.07510072737932205,monastery,663,0.013068989850580692,vault,884,0.003544566687196493,analog clock,409,0.0027413310017436743
9,church,497,0.2747204005718231,altar,406,0.2225547432899475,vault,884,0.044588055461645126,monastery,663,0.01199308130890131,organ,687,0.007141413167119026
10,church,497,0.4107186794281006,bell cote,442,0.18061086535453796,monastery,663,0.016629807651042938,vault,884,0.004596366547048092,tile roof,858,0.002964802784845233
11,church,497,0.4650368392467499,altar,406,0.16896896064281464,vault,884,0.09332958608865738,monastery,663,0.006613024044781923,organ,687,0.0051117087714374065
12,church,497,0.5096313953399658,bell cote,442,0.01085787545889616,monastery,663,0.009159203618764877,vault,884,0.002626430243253708,dome,538,0.0024078767746686935
13,church,497,0.4131507873535156,bell cote,442,0.12333828210830688,monastery,663,0.010828688740730286,analog clock,409,0.00625937944278121,chime,494,0.002074731048196554
14,vault,884,0.43420302867889404,church,497,0.12802302837371826,altar,406,0.08977636694908142,monastery,663,0.017197072505950928,organ,687,0.012129956856369972
15,altar,406,0.1915913075208664,vault,884,0.1631338894367218,church,497,0.10262177884578705,organ,687,0.03731081634759903,monastery,663,0.019233444705605507
16,church,497,0.42101797461509705,bell cote,442,0.012180224061012268,dome,538,0.007093192543834448,monastery,663,0.005547021981328726,analog clock,409,0.0018644114024937153
17,altar,406,0.2505549490451813,organ,687,0.16481883823871613,vault,884,0.11113739013671875,church,497,0.03195100650191307,monastery,663,0.009031448513269424
18,church,497,0.3175782561302185,altar,406,0.14349418878555298,vault,884,0.10967619717121124,organ,687,0.008598319254815578,monastery,663,0.007557960227131844
19,church,497,0.3558776378631592,bell cote,442,0.05258376523852348,monastery,663,0.03593667596578598,vault,884,0.005962815601378679,dome,538,0.003119034692645073
20,altar,406,0.1411868780851364,vault,884,0.11270680278539658,organ,687,0.09870019555091858,church,497,0.0723312571644783,monastery,663,0.008931223303079605
21,altar,406,0.3141402006149292,church,497,0.2041003406047821,vault,884,0.1087992861866951,organ,687,0.013039860874414444,monastery,663,0.00816888827830553
22,vault,884,0.37370023131370544,altar,406,0.08956770598888397,church,497,0.06648877263069153,organ,687,0.021223189309239388,monastery,663,0.012133334763348103
23,church,497,0.4028138816356659,bell cote,442,0.08935201168060303,monastery,663,0.022883649915456772,vault,884,0.004299975000321865,altar,406,0.002154763787984848
24,church,497,0.2884662449359894,bell cote,442,0.03205398842692375,monastery,663,0.012086635455489159,dome,538,0.0035080700181424618,tile roof,858,0.0019606284331530333
25,altar,406,0.177702397108078,vault,884,0.14324192702770233,church,497,0.12580081820487976,organ,687,0.013441624119877815,monastery,663,0.0128782968968153
26,church,497,0.324618399143219,bell cote,442,0.1822703331708908,monastery,663,0.05908975750207901,vault,884,0.014319195412099361,tile roof,858,0.0032322779297828674
27,vault,884,0.21785210072994232,church,497,0.11810985952615738,altar,406,0.09388159960508347,monastery,663,0.02392779476940632,organ,687,0.011444054543972015
28,church,497,0.45227423310279846,bell cote,442,0.10005317628383636,monastery,663,0.005535996984690428,obelisk,682,0.004641025792807341,sundial,835,0.004354193340986967
29,church,497,0.4147326350212097,bell cote,442,0.07929318398237228,monastery,663,0.017731430009007454,vault,884,0.0064683030359447,barn,425,0.002509667305275798
30,vault,884,0.33988067507743835,altar,406,0.11300194263458252,church,497,0.07776233553886414,organ,687,0.014996414072811604,monastery,663,0.010541935451328754
31,church,497,0.5208507180213928,bell cote,442,0.036124102771282196,monastery,663,0.012352502904832363,tile roof,858,0.002140788361430168,chime,494,0.001825790386646986
32,church,497,0.5424491763114929,bell cote,442,0.05190898850560188,monastery,663,0.01613457128405571,vault,884,0.00754369655624032,castle,483,0.0073988470248878
33,altar,406,0.18288151919841766,church,497,0.1729627400636673,vault,884,0.09419690072536469,organ,687,0.015513190068304539,monastery,663,0.008471108041703701
34,church,497,0.5201224088668823,monastery,663,0.012311190366744995,bell cote,442,0.010168345645070076,analog clock,409,0.001891650608740747,indri,384,0.0016944968374446034
35,altar,406,0.23179610073566437,vault,884,0.1588398516178131,church,497,0.11392392218112946,organ,687,0.06427062302827835,monastery,663,0.010189976543188095
36,church,497,0.44886335730552673,bell cote,442,0.02634073980152607,monastery,663,0.014021222479641438,dome,538,0.0025895710568875074,beacon,437,0.0022395048290491104
37,church,497,0.4313932955265045,bell cote,442,0.09931403398513794,monastery,663,0.0256979838013649,vault,884,0.008037990890443325,tile roof,858,0.0063374522142112255
38,church,497,0.2988671660423279,altar,406,0.27568483352661133,vault,884,0.1402580738067627,organ,687,0.008361435495316982,monastery,663,0.0073192850686609745
39,church,497,0.4647561013698578,monastery,663,0.04687821865081787,bell cote,442,0.019256215542554855,altar,406,0.006966808810830116,castle,483,0.002868105424568057
40,church,497,0.35506486892700195,bell cote,442,0.09720481187105179,monastery,663,0.004936960060149431,dome,538,0.002875819569453597,tile roof,858,0.0028430961538106203
41,vault,884,0.2941790521144867,altar,406,0.16066724061965942,church,497,0.052369389683008194,organ,687,0.04330746456980705,monastery,663,0.011180323548614979
42,vault,884,0.5249363780021667,altar,406,0.06610555201768875,church,497,0.01724761538207531,organ,687,0.014399687759578228,monastery,663,0.012713722884654999
43,vault,884,0.30425330996513367,church,497,0.1437271684408188,altar,406,0.07374972105026245,monastery,663,0.014865578152239323,organ,687,0.009827760979533195
44,church,497,0.48488861322402954,altar,406,0.09229608625173569,vault,884,0.0912385955452919,monastery,663,0.008914419449865818,organ,687,0.005401709582656622
45,church,497,0.4881967008113861,bell cote,442,0.06429758667945862,monastery,663,0.01613559015095234,dome,538,0.002447582548484206,tile roof,858,0.0020709936507046223
46,church,497,0.4912243187427521,bell cote,442,0.04736752435564995,monastery,663,0.007583354599773884,vault,884,0.004953235387802124,dome,538,0.0028597605414688587
47,church,497,0.4441886246204376,bell cote,442,0.01845698617398739,monastery,663,0.00827393215149641,indri,384,0.004350351169705391,castle,483,0.0027144819032400846
48,vault,884,0.5277565717697144,altar,406,0.03779023885726929,church,497,0.03768074885010719,monastery,663,0.02431645616889,organ,687,0.0072822896763682365
49,church,497,0.277868390083313,monastery,663,0.035526350140571594,bell cote,442,0.022697478532791138,dome,538,0.003325855126604438,vault,884,0.0027779231313616037
50,church,497,0.43093016743659973,bell cote,442,0.025933822616934776,monastery,663,0.012555927038192749,dome,538,0.006254448089748621,chime,494,0.002473213942721486
51,vault,884,0.37763890624046326,church,497,0.07569044828414917,altar,406,0.047668538987636566,monastery,663,0.03313871845602989,organ,687,0.008753162808716297
52,church,497,0.22967591881752014,altar,406,0.20110099017620087,vault,884,0.16800212860107422,organ,687,0.015690604224801064,monastery,663,0.008753164671361446
53,vault,884,0.25434017181396484,altar,406,0.19720359146595,church,497,0.05318490415811539,organ,687,0.014158626087009907,monastery,663,0.01031007431447506
54,church,497,0.34721410274505615,bell cote,442,0.12686467170715332,monastery,663,0.012177546508610249,vault,884,0.0043612332083284855,tile roof,858,0.0038361598271876574
55,church,497,0.341001957654953,altar,406,0.21654091775417328,vault,884,0.09278158098459244,organ,687,0.009412813000380993,monastery,663,0.00936709251254797
56,church,497,0.39242392778396606,bell cote,442,0.03257566690444946,monastery,663,0.009810741059482098,tile roof,858,0.0027305420953780413,analog clock,409,0.0020109470933675766
57,vault,884,0.2116153985261917,church,497,0.1186690405011177,altar,406,0.0678873360157013,monastery,663,0.022009557113051414,organ,687,0.0070690978318452835
58,church,497,0.4985268712043762,bell cote,442,0.08217715471982956,monastery,663,0.010361549444496632,vault,884,0.010230585001409054,tile roof,858,0.004951626528054476
59,church,497,0.29494529962539673,bell cote,442,0.11067471653223038,monastery,663,0.020675674080848694,vault,884,0.013122040778398514,tile roof,858,0.005858087446540594
60,church,497,0.38544297218322754,bell cote,442,0.14737021923065186,monastery,663,0.011436795815825462,vault,884,0.002718736417591572,dome,538,0.002348141511902213
61,church,497,0.3825386166572571,bell cote,442,0.10298258066177368,monastery,663,0.007112288381904364,dome,538,0.004265705589205027,vault,884,0.002435370348393917
62,church,497,0.4303332269191742,bell cote,442,0.06585589796304703,vault,884,0.013167696073651314,monastery,663,0.01197498943656683,altar,406,0.00639071362093091
63,church,497,0.4359612762928009,bell cote,442,0.2185567319393158,monastery,663,0.017374681308865547,vault,884,0.0029534546192735434,tile roof,858,0.0020650404039770365
64,church,497,0.34747612476348877,bell cote,442,0.10545346140861511,monastery,663,0.010017366148531437,vault,884,0.006897025275975466,carton,478,0.002264654729515314
65,vault,884,0.24849674105644226,altar,406,0.17842258512973785,church,497,0.0955769419670105,organ,687,0.03358736261725426,monastery,663,0.00871623121201992
66,church,497,0.49230238795280457,bell cote,442,0.07575362920761108,monastery,663,0.014168139547109604,carton,478,0.004977153614163399,vault,884,0.0030907695181667805
67,church,497,0.33181074261665344,bell cote,442,0.1525990217924118,monastery,663,0.015945030376315117,vault,884,0.009751824662089348,beacon,437,0.004869008436799049
68,church,497,0.3818909823894501,bell cote,442,0.1126256138086319,monastery,663,0.021283719688653946,vault,884,0.0071988520212471485,dome,538,0.0024709037970751524
69,vault,884,0.3078693449497223,organ,687,0.1057293638586998,church,497,0.04508252814412117,altar,406,0.04127604514360428,monastery,663,0.01589585654437542
70,church,497,0.5269713997840881,monastery,663,0.04570787027478218,bell cote,442,0.016521088778972626,vault,884,0.008879528380930424,dome,538,0.0032841069623827934
71,vault,884,0.35056501626968384,altar,406,0.18836228549480438,church,497,0.056224022060632706,organ,687,0.032876428216695786,monastery,663,0.009827852249145508
72,church,497,0.4481601417064667,monastery,663,0.056052275002002716,bell cote,442,0.022074492648243904,vault,884,0.0037107921671122313,analog clock,409,0.0036335845943540335
73,vault,884,0.3868102431297302,altar,406,0.055592045187950134,organ,687,0.04341819882392883,church,497,0.03258758783340454,monastery,663,0.006404804065823555
74,church,497,0.46052759885787964,bell cote,442,0.024801606312394142,monastery,663,0.007801924366503954,chime,494,0.0020613851957023144,dome,538,0.0019523866940289736
75,altar,406,0.4587605893611908,church,497,0.2491358071565628,vault,884,0.07738972455263138,organ,687,0.006382545921951532,monastery,663,0.0030217934399843216
76,church,497,0.3353559970855713,bell cote,442,0.16840532422065735,monastery,663,0.014627974480390549,vault,884,0.004530329257249832,tile roof,858,0.003259628778323531
77,church,497,0.4126369059085846,bell cote,442,0.11077675223350525,monastery,663,0.012211778201162815,vault,884,0.001966343028470874,dome,538,0.0017354993615299463
78,church,497,0.6403689384460449,bell cote,442,0.0302373506128788,monastery,663,0.008005287498235703,dome,538,0.004125205799937248,mosque,668,0.002458335133269429
79,church,497,0.37102189660072327,bell cote,442,0.07296165823936462,monastery,663,0.028173288330435753,dome,538,0.004022151697427034,vault,884,0.003209989983588457
80,church,497,0.26478520035743713,vault,884,0.23435446619987488,altar,406,0.14260099828243256,organ,687,0.009721578098833561,monastery,663,0.0059423139318823814
81,church,497,0.5036318302154541,altar,406,0.1529673933982849,vault,884,0.06916559487581253,monastery,663,0.008545856922864914,organ,687,0.00677950493991375
82,church,497,0.35971683263778687,monastery,663,0.013489500619471073,picket fence,716,0.009899319149553776,bell cote,442,0.007233945652842522,analog clock,409,0.0051986039616167545
83,vault,884,0.28727227449417114,church,497,0.14373822510242462,altar,406,0.07121695578098297,monastery,663,0.02106882818043232,organ,687,0.01348771434277296
84,church,497,0.14866358041763306,organ,687,0.11244780570268631,vault,884,0.10850813239812851,altar,406,0.06924498081207275,monastery,663,0.008360791951417923
85,altar,406,0.2746376395225525,vault,884,0.2179630994796753,church,497,0.0878656879067421,monastery,663,0.01874730736017227,organ,687,0.010397792793810368
86,church,497,0.3759865164756775,bell cote,442,0.10775461792945862,monastery,663,0.020257415249943733,vault,884,0.004836345091462135,dome,538,0.003091139253228903
87,vault,884,0.4527144134044647,church,497,0.13627049326896667,altar,406,0.050062146037817,monastery,663,0.028361041098833084,organ,687,0.011321550235152245
88,church,497,0.3277515172958374,bell cote,442,0.0992782935500145,monastery,663,0.013877666555345058,vault,884,0.0036293233279138803,altar,406,0.0030875999946147203
89,church,497,0.5276755690574646,bell cote,442,0.04865161329507828,monastery,663,0.011331337504088879,vault,884,0.0025971513241529465,dome,538,0.0025745818857103586
90,vault,884,0.3694767653942108,church,497,0.08619651198387146,altar,406,0.08527731895446777,monastery,663,0.031003590673208237,organ,687,0.009189069271087646
91,church,497,0.5326771140098572,bell cote,442,0.017658356577157974,monastery,663,0.009275821968913078,dome,538,0.002895503304898739,vault,884,0.001968863420188427
92,vault,884,0.3572055995464325,altar,406,0.061173297464847565,monastery,663,0.0437324084341526,church,497,0.03715912997722626,organ,687,0.012083389796316624
93,altar,406,0.27800020575523376,vault,884,0.1919952929019928,church,497,0.06437071412801743,organ,687,0.02218310907483101,monastery,663,0.012363653630018234
94,church,497,0.4807145893573761,bell cote,442,0.04288678988814354,monastery,663,0.012533974833786488,analog clock,409,0.0022536548785865307,vault,884,0.0016927261603996158
95,church,497,0.471674382686615,bell cote,442,0.02092779241502285,monastery,663,0.00911626685410738,chime,494,0.0022331394720822573,dome,538,0.0016232604393735528
96,church,497,0.36431223154067993,bell cote,442,0.12045847624540329,monastery,663,0.008066040463745594,tile roof,858,0.0028093906585127115,carton,478,0.0027093375101685524
97,church,497,0.25543975830078125,vault,884,0.2506955564022064,altar,406,0.08603134006261826,monastery,663,0.015150394290685654,organ,687,0.012517675757408142
98,vault,884,0.39049938321113586,church,497,0.07109148800373077,altar,406,0.05003614351153374,monastery,663,0.015944521874189377,organ,687,0.010074526071548462
99,church,497,0.4389479458332062,bell cote,442,0.052943166345357895,monastery,663,0.038921598345041275,obelisk,682,0.005906124599277973,dome,538,0.005505535751581192
100,church,497,0.4131140410900116,bell cote,442,0.03810735046863556,monastery,663,0.009653301909565926,vault,884,0.0028691114857792854,analog clock,409,0.0025054290890693665
101,vault,884,0.4504135251045227,altar,406,0.07595714181661606,church,497,0.0687313973903656,organ,687,0.018981970846652985,monastery,663,0.014613401144742966
102,vault,884,0.3058801591396332,altar,406,0.07028742134571075,church,497,0.05504950135946274,organ,687,0.02674025110900402,monastery,663,0.012215198948979378
103,church,497,0.4324560761451721,bell cote,442,0.08893458545207977,monastery,663,0.005655263550579548,beacon,437,0.0039841351099312305,mosque,668,0.002645539352670312
104,church,497,0.6379575133323669,bell cote,442,0.02383977547287941,obelisk,682,0.0181149709969759,monastery,663,0.0027480788994580507,library,624,0.0017118153627961874
105,church,497,0.4315774440765381,bell cote,442,0.047804832458496094,monastery,663,0.010805142112076283,vault,884,0.003072122111916542,dome,538,0.002977720694616437
106,church,497,0.22834435105323792,bell cote,442,0.06983552873134613,monastery,663,0.04271548241376877,vault,884,0.013210410252213478,castle,483,0.006586939096450806
107,vault,884,0.2935918867588043,altar,406,0.18723230063915253,church,497,0.05287683382630348,organ,687,0.018712569028139114,monastery,663,0.017099717631936073
108,church,497,0.4608485698699951,bell cote,442,0.06130090728402138,monastery,663,0.017100652679800987,castle,483,0.003112159203737974,vault,884,0.0030841275583952665
109,church,497,0.4047316014766693,monastery,663,0.02717479132115841,bell cote,442,0.016824863851070404,dome,538,0.005713936407119036,obelisk,682,0.0019122150260955095
110,altar,406,0.2939499020576477,vault,884,0.13373354077339172,church,497,0.10082311183214188,organ,687,0.030403293669223785,monastery,663,0.008801822550594807
111,church,497,0.5051390528678894,bell cote,442,0.07034854590892792,monastery,663,0.0166340209543705,vault,884,0.009430190548300743,tile roof,858,0.00254178699105978
112,church,497,0.17393527925014496,bell cote,442,0.12396493554115295,monastery,663,0.02087743952870369,indri,384,0.01446189172565937,vault,884,0.009384162724018097
113,vault,884,0.20536531507968903,church,497,0.18976366519927979,altar,406,0.07828812301158905,monastery,663,0.037024639546871185,organ,687,0.01120853517204523
114,church,497,0.44672682881355286,bell cote,442,0.027007771655917168,monastery,663,0.009297722950577736,sundial,835,0.001672167214564979,dome,538,0.0016506925458088517
115,altar,406,0.2298961728811264,vault,884,0.13938942551612854,church,497,0.09998451918363571,organ,687,0.05829036608338356,monastery,663,0.005798438098281622
116,vault,884,0.20628194510936737,church,497,0.13756076991558075,altar,406,0.08460976183414459,monastery,663,0.049374911934137344,organ,687,0.030795184895396233
117,vault,884,0.22904469072818756,altar,406,0.10951147228479385,church,497,0.05061163753271103,organ,687,0.04582823067903519,monastery,663,0.021460365504026413
118,church,497,0.26007935404777527,bell cote,442,0.1577058732509613,monastery,663,0.013183137401938438,vault,884,0.004659823141992092,analog clock,409,0.004659407772123814
119,vault,884,0.1906583607196808,altar,406,0.1598120629787445,organ,687,0.08607929944992065,church,497,0.06408970803022385,monastery,663,0.020892150700092316
120,church,497,0.40602248907089233,bell cote,442,0.0300266295671463,monastery,663,0.010610113851726055,vault,884,0.0035981065593659878,castle,483,0.002871433272957802
121,church,497,0.4514862895011902,bell cote,442,0.03150033950805664,monastery,663,0.006361471954733133,tile roof,858,0.002068151952698827,dome,538,0.00164601590950042
122,church,497,0.31219154596328735,altar,406,0.16004492342472076,vault,884,0.14773325622081757,monastery,663,0.00917928945273161,organ,687,0.008450093679130077
123,altar,406,0.23359401524066925,vault,884,0.23015733063220978,church,497,0.13394246995449066,monastery,663,0.01753593049943447,organ,687,0.013770118355751038
124,vault,884,0.4759312570095062,altar,406,0.09014575183391571,church,497,0.07541832327842712,monastery,663,0.01723732240498066,organ,687,0.015629112720489502
125,church,497,0.3706306517124176,bell cote,442,0.04570629820227623,monastery,663,0.0077535430900752544,obelisk,682,0.004325807094573975,analog clock,409,0.0026637462433427572
126,vault,884,0.5699656009674072,altar,406,0.10425396263599396,church,497,0.029483024030923843,organ,687,0.017451776191592216,monastery,663,0.017423516139388084
127,altar,406,0.26914843916893005,church,497,0.23470935225486755,vault,884,0.09215644001960754,organ,687,0.014062341302633286,monastery,663,0.006788881495594978
128,vault,884,0.5994285345077515,altar,406,0.04054851830005646,organ,687,0.017701812088489532,church,497,0.01602216809988022,monastery,663,0.010090665891766548
129,church,497,0.3124189078807831,bell cote,442,0.08883687853813171,monastery,663,0.008756778202950954,tile roof,858,0.0031353298109024763,vault,884,0.0026301471516489983
130,altar,406,0.2542727589607239,church,497,0.16297172009944916,vault,884,0.1554606705904007,organ,687,0.01338944397866726,monastery,663,0.011558987200260162
131,vault,884,0.22426041960716248,church,497,0.18705351650714874,altar,406,0.11278387904167175,organ,687,0.012572573497891426,monastery,663,0.008831626735627651
132,church,497,0.2564936578273773,altar,406,0.23697739839553833,vault,884,0.1344476044178009,organ,687,0.01597742736339569,monastery,663,0.007021964993327856
133,church,497,0.3272574245929718,bell cote,442,0.14990954101085663,monastery,663,0.05943215638399124,vault,884,0.008295904844999313,tile roof,858,0.0041580889374017715
134,church,497,0.3312474191188812,bell cote,442,0.014604683965444565,monastery,663,0.009170898236334324,dome,538,0.0019620051607489586,sundial,835,0.0018939541187137365
135,altar,406,0.3150748014450073,vault,884,0.26704704761505127,church,497,0.06341120600700378,organ,687,0.018855782225728035,monastery,663,0.006070885807275772
136,church,497,0.3041885197162628,bell cote,442,0.2659209668636322,monastery,663,0.04742000252008438,vault,884,0.026933753862977028,tile roof,858,0.006821484304964542
137,church,497,0.43264061212539673,bell cote,442,0.0822627991437912,monastery,663,0.030363423749804497,vault,884,0.0052107940427958965,altar,406,0.0020814859308302402
138,church,497,0.39247003197669983,bell cote,442,0.04787655547261238,monastery,663,0.01861920766532421,tile roof,858,0.00300662312656641,chime,494,0.0024276082403957844
139,vault,884,0.4298369586467743,altar,406,0.21195697784423828,church,497,0.06295257806777954,organ,687,0.020544415339827538,monastery,663,0.006768937222659588
140,church,497,0.5317302346229553,bell cote,442,0.09336919337511063,monastery,663,0.0036374004557728767,vault,884,0.0024379687383770943,tile roof,858,0.0022504657972604036
141,church,497,0.5438924431800842,bell cote,442,0.055713389068841934,monastery,663,0.032067980617284775,vault,884,0.004563581198453903,dome,538,0.003137261839583516
142,vault,884,0.32029858231544495,altar,406,0.1114162728190422,organ,687,0.05560646206140518,church,497,0.034385837614536285,monastery,663,0.013804535381495953
143,church,497,0.7271103262901306,monastery,663,0.008163473568856716,bell cote,442,0.007749022450298071,picket fence,716,0.004723912570625544,barn,425,0.002848319010809064
144,church,497,0.1812804788351059,altar,406,0.17277073860168457,vault,884,0.08559271693229675,organ,687,0.05287857726216316,monastery,663,0.007704847492277622
145,church,497,0.5603495240211487,bell cote,442,0.03408811241388321,altar,406,0.019038407132029533,vault,884,0.01571326144039631,monastery,663,0.0067582447081804276
146,church,497,0.26575663685798645,bell cote,442,0.2509725093841553,monastery,663,0.030100073665380478,vault,884,0.01121909637004137,altar,406,0.0018283763201907277
147,church,497,0.45028936862945557,bell cote,442,0.15407496690750122,monastery,663,0.015367072075605392,vault,884,0.004636378958821297,dome,538,0.004023037850856781
148,church,497,0.3662588596343994,bell cote,442,0.05449855327606201,monastery,663,0.012781783938407898,vault,884,0.00443662703037262,tile roof,858,0.0023867625277489424
149,church,497,0.473403662443161,bell cote,442,0.04472339153289795,monastery,663,0.01741144061088562,vault,884,0.007204864174127579,castle,483,0.0023032445460557938
150,church,497,0.4199696481227875,bell cote,442,0.05498426407575607,monastery,663,0.02073979564011097,beacon,437,0.00426183408126235,chime,494,0.0021546187344938517
151,vault,884,0.3638560473918915,altar,406,0.21020621061325073,church,497,0.08654652535915375,organ,687,0.01429199893027544,monastery,663,0.010559054091572762
152,vault,884,0.2542746663093567,altar,406,0.17771600186824799,church,497,0.064632847905159,organ,687,0.021571580320596695,monastery,663,0.01621871255338192
153,altar,406,0.24803267419338226,church,497,0.16347980499267578,vault,884,0.11102401465177536,monastery,663,0.0174117349088192,organ,687,0.00925257708877325
154,bell cote,442,0.2340710461139679,church,497,0.20948024094104767,monastery,663,0.022991927340626717,vault,884,0.003038181224837899,tile roof,858,0.0023210677318274975
155,church,497,0.5250372886657715,bell cote,442,0.021301714703440666,dome,538,0.007055624388158321,monastery,663,0.004680322017520666,beacon,437,0.0034303581342101097
156,church,497,0.41216549277305603,bell cote,442,0.05056197568774223,monastery,663,0.010318937711417675,vault,884,0.002504245610907674,obelisk,682,0.002405039966106415
157,church,497,0.4904874563217163,bell cote,442,0.011202567256987095,monastery,663,0.008522048592567444,dome,538,0.0021520517766475677,chime,494,0.0014090423937886953
158,church,497,0.4206499457359314,bell cote,442,0.10317952185869217,monastery,663,0.020418506115674973,vault,884,0.00667817797511816,altar,406,0.0035281518939882517
159,church,497,0.25444358587265015,vault,884,0.20880545675754547,altar,406,0.1913061887025833,organ,687,0.008263262920081615,monastery,663,0.005962137132883072
160,vault,884,0.3683963716030121,altar,406,0.11221956461668015,church,497,0.07507788389921188,organ,687,0.014950020238757133,monastery,663,0.013374891132116318
161,vault,884,0.18280954658985138,church,497,0.15414276719093323,altar,406,0.09358008950948715,organ,687,0.06756281852722168,monastery,663,0.013817877508699894
162,church,497,0.3089187443256378,bell cote,442,0.08410701900720596,monastery,663,0.00896928459405899,beacon,437,0.0031464649364352226,analog clock,409,0.002608509734272957
163,church,497,0.41592952609062195,bell cote,442,0.12590570747852325,monastery,663,0.030572351068258286,dome,538,0.0025372549425810575,tile roof,858,0.002490803599357605
164,church,497,0.38617709279060364,bell cote,442,0.13264138996601105,monastery,663,0.0271811094135046,vault,884,0.004136260598897934,tile roof,858,0.002277415944263339
165,organ,687,0.1617516726255417,vault,884,0.12224553525447845,altar,406,0.11376436054706573,church,497,0.07119880616664886,monastery,663,0.008523213677108288
166,vault,884,0.330858051776886,altar,406,0.16495050489902496,church,497,0.15153037011623383,organ,687,0.023166297003626823,monastery,663,0.01445743814110756
167,vault,884,0.1955636888742447,altar,406,0.12796296179294586,church,497,0.0813216120004654,organ,687,0.06473447382450104,monastery,663,0.011109035462141037
168,church,497,0.4687559902667999,bell cote,442,0.05840364471077919,monastery,663,0.010641575790941715,dome,538,0.003572116605937481,vault,884,0.00313017750158906
169,church,497,0.5752706527709961,monastery,663,0.01329614594578743,bell cote,442,0.008036344312131405,dome,538,0.0024554957635700703,vault,884,0.0015823353314772248
170,vault,884,0.18226636946201324,altar,406,0.14068922400474548,church,497,0.10416623204946518,organ,687,0.040807534009218216,monastery,663,0.014130457304418087
171,church,497,0.4372931122779846,bell cote,442,0.11292153596878052,monastery,663,0.03551240637898445,vault,884,0.005618264898657799,mosque,668,0.0034710937179625034
172,vault,884,0.2868667244911194,altar,406,0.12388955801725388,church,497,0.11217685788869858,organ,687,0.017459796741604805,monastery,663,0.012644458562135696
173,church,497,0.3736620545387268,bell cote,442,0.09554839134216309,monastery,663,0.013297438621520996,dome,538,0.002798501867800951,castle,483,0.0025980595964938402
174,bell cote,442,0.3522224724292755,church,497,0.15156574547290802,monastery,663,0.06206202134490013,vault,884,0.006867325399070978,obelisk,682,0.003243508981540799
175,vault,884,0.22753600776195526,altar,406,0.11258645355701447,church,497,0.08140358328819275,organ,687,0.04323117434978485,monastery,663,0.015394618734717369
176,vault,884,0.3169007897377014,altar,406,0.18597133457660675,church,497,0.10571678727865219,organ,687,0.025678955018520355,monastery,663,0.01241342443972826
177,church,497,0.4625452756881714,bell cote,442,0.026870226487517357,monastery,663,0.021037507802248,dome,538,0.0028393827378749847,indri,384,0.002332735573872924
178,church,497,0.37321245670318604,bell cote,442,0.11793100088834763,monastery,663,0.02263498306274414,vault,884,0.006637456826865673,castle,483,0.003034629626199603
179,church,497,0.5592362284660339,monastery,663,0.016436921432614326,bell cote,442,0.0024099289439618587,castle,483,0.002041364088654518,dome,538,0.0019662140402942896
180,church,497,0.19020602107048035,vault,884,0.16720157861709595,altar,406,0.1314423680305481,monastery,663,0.017343349754810333,organ,687,0.011736954562366009
181,altar,406,0.2786775827407837,vault,884,0.19345349073410034,church,497,0.14060954749584198,organ,687,0.019027432426810265,monastery,663,0.0073369285091757774
182,church,497,0.36843597888946533,bell cote,442,0.04694853350520134,monastery,663,0.006520984228700399,dome,538,0.003216078504920006,vault,884,0.0019265461014583707
183,church,497,0.5208156704902649,bell cote,442,0.029523665085434914,monastery,663,0.008082320913672447,barn,425,0.0020318736787885427,tile roof,858,0.0016852064291015267
184,vault,884,0.5416316390037537,altar,406,0.027496542781591415,monastery,663,0.02006509155035019,church,497,0.015030483715236187,organ,687,0.01259572058916092
185,church,497,0.4227231740951538,bell cote,442,0.013527140021324158,monastery,663,0.00951500702649355,altar,406,0.004998404998332262,vault,884,0.002122912323102355
