case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,French horn,566,0.5662056803703308,electric guitar,546,0.0012615147279575467,bassoon,432,0.0011972447391599417,vault,884,0.0011032222537323833,cornet,513,0.0010502742370590568
1,French horn,566,0.5377382636070251,trombone,875,0.001876829075627029,cornet,513,0.0016704958397895098,chain,488,0.001400571782141924,bassoon,432,0.0013863234780728817
2,French horn,566,0.37867406010627747,cornet,513,0.004917212296277285,bassoon,432,0.0017879774095490575,pedestal,708,0.0016838633455336094,hammer,587,0.001427292707376182
3,French horn,566,0.43696269392967224,cornet,513,0.0024033430963754654,coil,506,0.0019199542002752423,nematode,111,0.0015457536792382598,carpenter's kit,477,0.0014470161404460669
4,French horn,566,0.5473862886428833,electric guitar,546,0.002445159014314413,shopping cart,791,0.0014453724725171924,bassoon,432,0.0011665495112538338,dumbbell,543,0.0010401448234915733
5,French horn,566,0.3734889328479767,cornet,513,0.00382956862449646,bassoon,432,0.0015230842400342226,electric guitar,546,0.0014968764735385776,trombone,875,0.0013915711315348744
6,French horn,566,0.5140627026557922,cornet,513,0.002377208787947893,electric guitar,546,0.0016229285392910242,vine snake,59,0.0012193592265248299,nematode,111,0.0011743122013285756
7,French horn,566,0.5149586796760559,electric guitar,546,0.0018288017017766833,nematode,111,0.0015202185604721308,coil,506,0.0014937451342120767,vine snake,59,0.0013365228660404682
8,French horn,566,0.515455961227417,electric guitar,546,0.001844429993070662,bassoon,432,0.0012633929727599025,vault,884,0.0012264765100553632,carpenter's kit,477,0.0011336538009345531
9,French horn,566,0.45070046186447144,cornet,513,0.013931828550994396,trombone,875,0.002875370904803276,oboe,683,0.0016325288452208042,bassoon,432,0.0012220110511407256
10,French horn,566,0.47470033168792725,bassoon,432,0.0013157078064978123,cornet,513,0.0012978933518752456,water buffalo,346,0.0011776197934523225,chain,488,0.0011765281669795513
11,French horn,566,0.6096873879432678,cornet,513,0.0012158238096162677,electric guitar,546,0.0009581059566698968,trombone,875,0.0009524588822387159,vault,884,0.0009148463141173124
12,French horn,566,0.44949206709861755,cornet,513,0.004731005989015102,Bedlington terrier,181,0.001917599467560649,torch,862,0.0012557317968457937,oboe,683,0.00125360197853297
13,French horn,566,0.6145128607749939,electric guitar,546,0.0014950266340747476,cornet,513,0.0013187796575948596,bassoon,432,0.0008976954850368202,Siamese cat,284,0.0008861757232807577
14,French horn,566,0.632665753364563,cornet,513,0.0030386538710445166,trombone,875,0.0030203566420823336,sax,776,0.0015312094474211335,bassoon,432,0.0013221362605690956
15,French horn,566,0.5156314373016357,cornet,513,0.0017751210834831,nematode,111,0.0011615019757300615,bassoon,432,0.0010670333867892623,electric guitar,546,0.0010666416492313147
16,French horn,566,0.45315226912498474,cornet,513,0.002275357022881508,vault,884,0.0014074757928028703,loupe,633,0.001174007193185389,trombone,875,0.0011638723080977798
17,French horn,566,0.5055946111679077,cornet,513,0.002946599153801799,trombone,875,0.0016616776119917631,electric guitar,546,0.0013361520832404494,oboe,683,0.0012923533795401454
18,French horn,566,0.4206823408603668,rocking chair,765,0.001470463233999908,Chesapeake Bay retriever,209,0.0014451650204136968,bassoon,432,0.0013842486077919602,whistle,902,0.0013255105586722493
19,French horn,566,0.6220806241035461,cornet,513,0.004144979640841484,trombone,875,0.0020661866292357445,oboe,683,0.0010976223275065422,electric guitar,546,0.001043235999532044
20,French horn,566,0.6141451597213745,cornet,513,0.0031431394163519144,trombone,875,0.0010707576293498278,electric guitar,546,0.0009705318370833993,sax,776,0.0009666854166425765
21,French horn,566,0.4212454557418823,cornet,513,0.020334938541054726,trombone,875,0.005090092308819294,oboe,683,0.0019679677207022905,bassoon,432,0.0015957795549184084
22,French horn,566,0.5945179462432861,cornet,513,0.01869046874344349,trombone,875,0.004528340883553028,sax,776,0.00144569284748286,oboe,683,0.0011768462136387825
23,French horn,566,0.5206089615821838,cornet,513,0.00425838865339756,trombone,875,0.001596977119334042,electric guitar,546,0.0014468671288341284,oboe,683,0.0014355117455124855
24,French horn,566,0.6140980124473572,bassoon,432,0.0009686131961643696,electric guitar,546,0.0009509757510386407,cornet,513,0.0009258569916710258,coil,506,0.0009082666947506368
25,French horn,566,0.4474497139453888,cornet,513,0.005758082494139671,trombone,875,0.0017199271824210882,vine snake,59,0.0016062244540080428,whistle,902,0.0015601294580847025
