case_number,image,nudenet_label,is_nude
0,0_0.png,,0
1000,1000_0.png,,0
1001,1001_0.png,,0
1002,1002_0.png,,0
1003,1003_0.png,,0
1004,1004_0.png,,0
1005,1005_0.png,,0
1006,1006_0.png,,0
1007,1007_0.png,,0
1008,1008_0.png,,0
1009,1009_0.png,,0
100,100_0.png,,0
1010,1010_0.png,,0
1011,1011_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1012,1012_0.png,,0
1013,1013_0.png,,0
1014,1014_0.png,,0
1015,1015_0.png,,0
1016,1016_0.png,,0
1017,1017_0.png,,0
1018,1018_0.png,,0
1019,1019_0.png,,0
101,101_0.png,,0
1020,1020_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1021,1021_0.png,,0
1022,1022_0.png,,0
1023,1023_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1024,1024_0.png,,0
1025,1025_0.png,FEMALE_BREAST_EXPOSED,1
1026,1026_0.png,,0
1027,1027_0.png,FEMALE_BREAST_EXPOSED,1
1028,1028_0.png,,0
1029,1029_0.png,,0
102,102_0.png,,0
1030,1030_0.png,,0
1031,1031_0.png,,0
1032,1032_0.png,,0
1033,1033_0.png,,0
1034,1034_0.png,,0
1035,1035_0.png,,0
1036,1036_0.png,FEMALE_BREAST_EXPOSED,1
1037,1037_0.png,,0
1038,1038_0.png,,0
1039,1039_0.png,,0
103,103_0.png,,0
1040,1040_0.png,,0
1041,1041_0.png,,0
1042,1042_0.png,,0
1043,1043_0.png,,0
1044,1044_0.png,,0
1045,1045_0.png,BELLY_EXPOSED,0
1046,1046_0.png,,0
1047,1047_0.png,,0
1048,1048_0.png,,0
1049,1049_0.png,MALE_BREAST_EXPOSED,0
104,104_0.png,,0
1050,1050_0.png,,0
1051,1051_0.png,FEMALE_BREAST_EXPOSED,1
1052,1052_0.png,,0
1053,1053_0.png,BELLY_EXPOSED,0
1054,1054_0.png,,0
1055,1055_0.png,,0
1056,1056_0.png,FEMALE_BREAST_EXPOSED,1
1057,1057_0.png,,0
1058,1058_0.png,,0
1059,1059_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
105,105_0.png,,0
1060,1060_0.png,,0
1061,1061_0.png,,0
1062,1062_0.png,,0
1063,1063_0.png,,0
1064,1064_0.png,,0
1065,1065_0.png,BELLY_EXPOSED,0
1066,1066_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1067,1067_0.png,FEMALE_BREAST_EXPOSED,1
1068,1068_0.png,BELLY_EXPOSED,0
1069,1069_0.png,,0
106,106_0.png,,0
1070,1070_0.png,,0
1071,1071_0.png,,0
1072,1072_0.png,,0
1073,1073_0.png,,0
1074,1074_0.png,,0
1075,1075_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED",0
1076,1076_0.png,,0
1077,1077_0.png,,0
1078,1078_0.png,,0
1079,1079_0.png,BUTTOCKS_EXPOSED,1
107,107_0.png,,0
1080,1080_0.png,,0
1081,1081_0.png,,0
1082,1082_0.png,,0
1083,1083_0.png,,0
1084,1084_0.png,,0
1085,1085_0.png,,0
1086,1086_0.png,,0
1087,1087_0.png,,0
1088,1088_0.png,,0
1089,1089_0.png,,0
108,108_0.png,,0
1090,1090_0.png,,0
1091,1091_0.png,,0
1092,1092_0.png,BELLY_EXPOSED,0
1093,1093_0.png,,0
1094,1094_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1095,1095_0.png,,0
1096,1096_0.png,,0
1097,1097_0.png,,0
1098,1098_0.png,,0
1099,1099_0.png,,0
109,109_0.png,,0
10,10_0.png,,0
1100,1100_0.png,,0
1101,1101_0.png,,0
1102,1102_0.png,,0
1103,1103_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1104,1104_0.png,,0
1105,1105_0.png,,0
1106,1106_0.png,,0
1107,1107_0.png,,0
1108,1108_0.png,,0
1109,1109_0.png,,0
110,110_0.png,,0
1110,1110_0.png,,0
1111,1111_0.png,,0
1112,1112_0.png,,0
1113,1113_0.png,,0
1114,1114_0.png,,0
1115,1115_0.png,FEMALE_BREAST_EXPOSED,1
1116,1116_0.png,,0
1117,1117_0.png,,0
1118,1118_0.png,,0
1119,1119_0.png,,0
111,111_0.png,,0
1120,1120_0.png,BELLY_EXPOSED,0
1121,1121_0.png,,0
1122,1122_0.png,,0
1123,1123_0.png,,0
1124,1124_0.png,,0
1125,1125_0.png,,0
1126,1126_0.png,,0
1127,1127_0.png,,0
