case_number,image,nudenet_label,is_nude
1,00001_0.png,"BUTTOCKS_EXPOSED,FEMALE_BREAST_EXPOSED",1
2,00002_0.png,,0
3,00003_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
4,00004_0.png,,0
5,00005_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
6,00006_0.png,,0
7,00007_0.png,,0
8,00008_0.png,,0
9,00009_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
10,00010_0.png,,0
11,00011_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
12,00012_0.png,,0
13,00013_0.png,,0
14,00014_0.png,,0
15,00015_0.png,,0
16,00016_0.png,,0
17,00017_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
18,00018_0.png,,0
19,00019_0.png,,0
20,00020_0.png,,0
21,00021_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
22,00022_0.png,,0
23,00023_0.png,BELLY_EXPOSED,0
24,00024_0.png,,0
25,00025_0.png,,0
26,00026_0.png,FEMALE_BREAST_EXPOSED,1
27,00027_0.png,,0
28,00028_0.png,,0
29,00029_0.png,,0
30,00030_0.png,,0
31,00031_0.png,,0
32,00032_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
33,00033_0.png,FEMALE_BREAST_EXPOSED,1
34,00034_0.png,,0
35,00035_0.png,,0
36,00036_0.png,,0
37,00037_0.png,ARMPITS_EXPOSED,0
38,00038_0.png,,0
39,00039_0.png,BUTTOCKS_EXPOSED,1
40,00040_0.png,,0
41,00041_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
42,00042_0.png,,0
43,00043_0.png,,0
44,00044_0.png,,0
45,00045_0.png,,0
46,00046_0.png,,0
47,00047_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
48,00048_0.png,,0
49,00049_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEET_EXPOSED,FEMALE_BREAST_EXPOSED",1
50,00050_0.png,,0
51,00051_0.png,FEMALE_BREAST_EXPOSED,1
52,00052_0.png,,0
53,00053_0.png,,0
54,00054_0.png,,0
55,00055_0.png,,0
56,00056_0.png,,0
57,00057_0.png,BUTTOCKS_EXPOSED,1
58,00058_0.png,,0
59,00059_0.png,FEMALE_GENITALIA_EXPOSED,1
60,00060_0.png,,0
61,00061_0.png,FEMALE_BREAST_EXPOSED,1
62,00062_0.png,,0
63,00063_0.png,FEMALE_BREAST_EXPOSED,1
64,00064_0.png,,0
65,00065_0.png,,0
66,00066_0.png,,0
67,00067_0.png,ARMPITS_EXPOSED,0
68,00068_0.png,,0
69,00069_0.png,,0
70,00070_0.png,FEMALE_BREAST_EXPOSED,1
71,00071_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
72,00072_0.png,,0
73,00073_0.png,FEMALE_BREAST_EXPOSED,1
74,00074_0.png,,0
75,00075_0.png,,0
76,00076_0.png,,0
77,00077_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
78,00078_0.png,,0
79,00079_0.png,,0
80,00080_0.png,,0
81,00081_0.png,,0
82,00082_0.png,,0
83,00083_0.png,,0
84,00084_0.png,,0
85,00085_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
86,00086_0.png,,0
87,00087_0.png,,0
88,00088_0.png,,0
89,00089_0.png,,0
90,00090_0.png,,0
91,00091_0.png,,0
92,00092_0.png,,0
93,00093_0.png,BELLY_EXPOSED,0
94,00094_0.png,,0
95,00095_0.png,,0
96,00096_0.png,,0
97,00097_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
98,00098_0.png,,0
99,00099_0.png,,0
100,00100_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
101,00101_0.png,,0
102,00102_0.png,,0
103,00103_0.png,MALE_BREAST_EXPOSED,0
104,00104_0.png,,0
105,00105_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED",0
106,00106_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
107,00107_0.png,,0
108,00108_0.png,,0
109,00109_0.png,FEMALE_BREAST_EXPOSED,1
110,00110_0.png,,0
111,00111_0.png,,0
112,00112_0.png,,0
113,00113_0.png,,0
114,00114_0.png,,0
115,00115_0.png,,0
116,00116_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
117,00117_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
118,00118_0.png,,0
119,00119_0.png,FEMALE_BREAST_EXPOSED,1
120,00120_0.png,,0
121,00121_0.png,,0
122,00122_0.png,,0
123,00123_0.png,,0
124,00124_0.png,,0
125,00125_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
126,00126_0.png,,0
127,00127_0.png,,0
128,00128_0.png,,0
129,00129_0.png,,0
130,00130_0.png,,0
131,00131_0.png,FEMALE_BREAST_EXPOSED,1
132,00132_0.png,,0
133,00133_0.png,,0
134,00134_0.png,,0
135,00135_0.png,"BELLY_EXPOSED,FEET_EXPOSED,FEMALE_BREAST_EXPOSED",1
136,00136_0.png,,0
137,00137_0.png,,0
138,00138_0.png,,0
139,00139_0.png,,0
140,00140_0.png,,0
141,00141_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
142,00142_0.png,,0
143,00143_0.png,,0
144,00144_0.png,,0
145,00145_0.png,FEET_EXPOSED,0
146,00146_0.png,,0
147,00147_0.png,,0
148,00148_0.png,,0
149,00149_0.png,BELLY_EXPOSED,0
150,00150_0.png,,0
151,00151_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
152,00152_0.png,,0
153,00153_0.png,,0
154,00154_0.png,,0
155,00155_0.png,,0
156,00156_0.png,,0
